way_id,node_id,way_index,lon,lat,ele,name,node_type,tags_json,geometry
720961392,675814622,0,121.5600033,25.1649829,,,,{},POINT (121.5600033 25.1649829)
720961392,12054720946,1,121.5599814,25.1649776,,,,{},POINT (121.5599814 25.1649776)
720961392,12054720948,2,121.5599562,25.1649728,,,,{},POINT (121.5599562 25.1649728)
720961392,12054720947,3,121.5599328,25.1649549,,,,{},POINT (121.5599328 25.1649549)
720961392,4210120144,4,121.5599159,25.1649447,,,,{},POINT (121.5599159 25.1649447)
720961392,675814621,5,121.5599045,25.1649245,,,,{},POINT (121.5599045 25.1649245)
720961392,4210120142,6,121.5596988,25.1648612,,,,{},POINT (121.5596988 25.1648612)
720961392,675814620,7,121.5596623,25.1648659,,,,{},POINT (121.5596623 25.1648659)
720961392,11384865691,8,121.5596384,25.1648877,,,,{},POINT (121.5596384 25.1648877)
720961392,11384865690,9,121.5596225,25.164902,,,,{},POINT (121.5596225 25.164902)
720961392,11384865689,10,121.5595908,25.1649197,,,,{},POINT (121.5595908 25.1649197)
720961392,4210120141,11,121.5595381,25.1649283,,,,{},POINT (121.5595381 25.1649283)
720961392,675814619,12,121.5595042,25.1649355,,,,{},POINT (121.5595042 25.1649355)
720961392,4210120140,13,121.5594437,25.1649378,,,,{},POINT (121.5594437 25.1649378)
720961392,675814618,14,121.5594083,25.1649437,,,,{},POINT (121.5594083 25.1649437)
720961392,4210120225,15,121.5593702,25.1649571,,,,{},POINT (121.5593702 25.1649571)
720961392,2391869940,16,121.5593135,25.1649592,,,,{},POINT (121.5593135 25.1649592)
1227691460,4210082387,0,121.5554757,25.1692281,,,,{},POINT (121.5554757 25.1692281)
1227691460,11384242802,1,121.5554951,25.1692871,,,,{},POINT (121.5554951 25.1692871)
1227691460,4210082388,2,121.5554893,25.1693052,,,,{},POINT (121.5554893 25.1693052)
1227691460,11384242768,3,121.5555158,25.1693241,,,,{},POINT (121.5555158 25.1693241)
1227691460,11384242767,4,121.5555131,25.1693378,,,,{},POINT (121.5555131 25.1693378)
1227691460,4210082389,5,121.5555294,25.1693452,,,,{},POINT (121.5555294 25.1693452)
1227691460,12054591036,6,121.5555271,25.1693549,,,,{},POINT (121.5555271 25.1693549)
1227691460,4210082391,7,121.5555195,25.1693642,,,,{},POINT (121.5555195 25.1693642)
1227691460,4210082392,8,121.5555256,25.1693955,,,,{},POINT (121.5555256 25.1693955)
1227691460,12054591035,9,121.555521,25.169416,,,,{},POINT (121.555521 25.169416)
1227691460,11384242766,10,121.5555292,25.169422,,,,{},POINT (121.5555292 25.169422)
1227691460,11384242801,11,121.5555582,25.1694209,,,,{},POINT (121.5555582 25.1694209)
1227691460,11384242800,12,121.5555702,25.169431,,,,{},POINT (121.5555702 25.169431)
1227691460,4210082396,13,121.5555816,25.1694567,,,,{},POINT (121.5555816 25.1694567)
1227691462,4210082375,0,121.555376,25.1687437,,,,{},POINT (121.555376 25.1687437)
1227691462,12054591037,1,121.5553753,25.1687547,,,,{},POINT (121.5553753 25.1687547)
1227691462,11384242771,2,121.5553848,25.1688064,,,,{},POINT (121.5553848 25.1688064)
1227691462,4210082376,3,121.5553796,25.168828,,,,{},POINT (121.5553796 25.168828)
1227691462,11384242804,4,121.5553914,25.1688631,,,,{},POINT (121.5553914 25.1688631)
1227691462,274939494,5,121.5553968,25.1688791,,,,{},POINT (121.5553968 25.1688791)
492257358,1491989087,0,121.5590018,25.1652446,,,,{},POINT (121.5590018 25.1652446)
492257358,675814607,1,121.5588593,25.1653015,,,,{},POINT (121.5588593 25.1653015)
492257358,675814604,2,121.5587947,25.1653329,,,,{},POINT (121.5587947 25.1653329)
492257358,4210120133,3,121.5587501,25.1653632,,,,{},POINT (121.5587501 25.1653632)
492257358,675814601,4,121.5587141,25.1654228,,,,{},POINT (121.5587141 25.1654228)
492257358,4210082132,5,121.5586734,25.1654607,,,,{},POINT (121.5586734 25.1654607)
585374844,4210120207,0,121.5629463,25.165741,,,,{},POINT (121.5629463 25.165741)
585374844,675814693,1,121.5629127,25.1657297,,,,{},POINT (121.5629127 25.1657297)
585374844,4210120206,2,121.5628899,25.1657085,,,,{},POINT (121.5628899 25.1657085)
585374844,675814691,3,121.562858,25.1657058,,,,{},POINT (121.562858 25.1657058)
585374844,4210120205,4,121.5628298,25.1657069,,,,{},POINT (121.5628298 25.1657069)
585374844,675814689,5,121.5627342,25.165737,,,,{},POINT (121.5627342 25.165737)
585374844,4210120204,6,121.5626395,25.1657283,,,,{},POINT (121.5626395 25.1657283)
585374844,675814688,7,121.5626085,25.1657305,,,,{},POINT (121.5626085 25.1657305)
585374844,4210120203,8,121.5625781,25.1657584,,,,{},POINT (121.5625781 25.1657584)
585374844,675814686,9,121.5625249,25.1657876,,,,{},POINT (121.5625249 25.1657876)
585374844,675814685,10,121.5624965,25.1658522,,,,{},POINT (121.5624965 25.1658522)
