activity_id,event_id,event_type,event_subtype,semantic_event_type_candidate,semantic_recovery_interpretation,start_elapsed_sec,end_elapsed_sec,duration_sec,start_route_dist_m,end_route_dist_m,on_route_ratio,off_route_ratio,max_offset_m,confidence,event_role,excluded_from_chain,terminal_artifact,route_issue_event,off_route_event,navigation_uncertainty_event,rejoin_candidate_event,source_file
13_1,6,short_pause,micro_pause,short_pause_candidate,pause_without_hr_drop,3533.0,3549.0,16.0,2099.0,2099.0,1.0,0.0,3.873348991864968,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\13_1\qixing_lengshuikeng_13_1_ib3c_behavior_events.csv
13_1,9,short_pause,micro_pause,short_pause_candidate,possible_recovery,4376.0,4393.0,17.0,2555.0,2555.0,1.0,0.0,4.0976784608169545,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\13_1\qixing_lengshuikeng_13_1_ib3c_behavior_events.csv
13_1,10,terminal_artifact,endpoint_artifact,terminal_artifact,terminal_artifact,6089.0,8301.0,2212.0,4187.392949094119,,0.0309139784946236,0.9690860215053764,113.91023690441732,0.9,TERMINAL_ARTIFACT_EXCLUDED,True,True,False,False,False,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\13_1\qixing_lengshuikeng_13_1_ib3c_behavior_events.csv
14_1,1,short_pause,micro_pause,short_pause_candidate,possible_recovery,111.0,126.0,15.0,4089.0,4089.0,1.0,0.0,1.7053786065379877,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_ib3c_behavior_events.csv
14_1,4,facility_rest,near_facility_or_rest_poi,facility_rest,facility_rest_with_hr_drop,2358.0,2429.0,71.0,2097.0,2097.0,1.0,0.0,5.522838439811676,0.75,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_ib3c_behavior_events.csv
14_1,5,facility_rest,near_facility_or_rest_poi,facility_rest,facility_rest_with_hr_drop,2440.0,2558.0,118.0,2100.0,2100.0,1.0,0.0,5.36179973975336,0.75,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_ib3c_behavior_events.csv
14_1,6,short_pause,micro_pause,short_pause_candidate,pause_without_hr_drop,2565.0,2584.0,19.0,2097.0,2097.0,1.0,0.0,4.515265749594337,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_ib3c_behavior_events.csv
14_1,8,short_pause,micro_pause,recovery_candidate,possible_recovery,2799.0,2845.0,46.0,2099.0,2099.0,1.0,0.0,3.173080141294939,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_ib3c_behavior_events.csv
14_1,9,facility_rest,near_facility_or_rest_poi,facility_rest,facility_rest_without_hr_drop,2864.0,2978.0,114.0,2101.0,2101.0,1.0,0.0,3.071361296133841,0.75,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_ib3c_behavior_events.csv
14_1,10,facility_rest,near_facility_or_rest_poi,facility_rest,facility_rest_without_hr_drop,2980.0,3077.0,97.0,2100.0,2100.0,1.0,0.0,2.918970624943519,0.75,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_ib3c_behavior_events.csv
14_1,11,terminal_artifact,endpoint_artifact,terminal_artifact,terminal_artifact,5240.0,7180.0,1940.0,4187.392949094119,,0.0061412487205731,0.9938587512794268,114.19967604673006,0.9,TERMINAL_ARTIFACT_EXCLUDED,True,True,False,False,False,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\14_1\qixing_lengshuikeng_14_1_ib3c_behavior_events.csv
15_1,1,terminal_artifact,endpoint_artifact,terminal_artifact,terminal_artifact,4932.0,6955.0,2023.0,,,0.0,1.0,118.71935240918924,0.9,TERMINAL_ARTIFACT_EXCLUDED,True,True,False,False,False,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\15_1\qixing_lengshuikeng_15_1_ib3c_behavior_events.csv
16_1,3,short_pause,micro_pause,short_pause_candidate,possible_recovery,384.0,410.0,26.0,233.0,233.0,1.0,0.0,1.0511445065961742,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_ib3c_behavior_events.csv
16_1,4,short_pause,micro_pause,recovery_candidate,possible_recovery,421.0,478.0,57.0,233.0,233.0,1.0,0.0,1.0561930981995935,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_ib3c_behavior_events.csv
16_1,7,short_pause,micro_pause,short_pause_candidate,possible_recovery,1163.0,1187.0,24.0,3339.0,3339.0,1.0,0.0,0.6491011814124716,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_ib3c_behavior_events.csv
16_1,8,short_pause,micro_pause,recovery_candidate,possible_recovery,1192.0,1245.0,53.0,3339.0,3339.0,1.0,0.0,0.8178537460989106,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_ib3c_behavior_events.csv
16_1,9,short_pause,micro_pause,recovery_candidate,confirmed_hr_recovery,1310.0,1346.0,36.0,3288.0,3288.0,1.0,0.0,0.6030055803428468,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_ib3c_behavior_events.csv
16_1,10,facility_rest,near_facility_or_rest_poi,facility_rest,facility_rest_with_hr_drop,2167.0,2244.0,77.0,2808.0,2808.0,1.0,0.0,1.6122370981958645,0.75,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_ib3c_behavior_events.csv
16_1,12,short_pause,micro_pause,recovery_candidate,possible_recovery,2447.0,2491.0,44.0,2749.0,2749.0,1.0,0.0,3.041412464645404,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_ib3c_behavior_events.csv
16_1,15,short_pause,micro_pause,short_pause_candidate,pause_without_hr_drop,3193.0,3212.0,19.0,2579.0,2579.0,1.0,0.0,0.8236856255431811,0.55,NAVIGATION_CHECK_CANDIDATE,False,False,True,False,True,False,D:\mountain_work\115_osm\outputs\ib3c_activity_behavior_events_adaptive_speed_v1_phase3c_recovery_interpretation_26batch\qixing_lengshuikeng\16_1\qixing_lengshuikeng_16_1_ib3c_behavior_events.csv
