activity_csv,activity_id,case_id,activity_rows,activity_timestamp_epoch,activity_start_utc,activity_end_utc,activity_duration_min,activity_time_status,weather_db_path,weather_db_found,weather_observation_table_found,weather_db_obs_start_utc,weather_db_obs_end_utc,weather_db_obs_count,activity_window_overlaps_weather_db,matching_weather_obs_count,weather_data_status,missingness_reason,zero_fallback_used,audit_policy
qixing_lengshuikeng_13_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_13_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,8325,garmin_seconds,2024-08-11T00:58:17+00:00,2024-08-11T03:16:38+00:00,138.35,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_14_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_14_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,7202,garmin_seconds,2024-08-11T00:57:11+00:00,2024-08-11T02:56:51+00:00,119.67,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_15_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_15_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,17282,garmin_seconds,2024-08-04T00:59:32+00:00,2024-08-04T02:55:27+00:00,115.92,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_16_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_16_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,10200,garmin_seconds,2024-08-11T00:10:01+00:00,2024-08-11T02:59:46+00:00,169.75,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_20_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_20_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,17452,garmin_seconds,2024-08-11T00:29:14+00:00,2024-08-11T02:59:11+00:00,149.95,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_23_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_23_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,34808,garmin_seconds,2024-08-11T00:27:56+00:00,2024-08-11T03:36:20+00:00,188.4,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_28_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_28_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,8636,garmin_seconds,2024-08-04T01:10:41+00:00,2024-08-04T03:34:22+00:00,143.68,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_29_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_29_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,23534,garmin_seconds,2024-08-24T01:22:26+00:00,2024-08-24T03:29:14+00:00,126.8,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_30_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_30_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,17563,garmin_seconds,2024-08-04T00:24:51+00:00,2024-08-04T02:31:41+00:00,126.83,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_33_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_33_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,6582,garmin_seconds,2024-08-25T00:53:06+00:00,2024-08-25T02:42:28+00:00,109.37,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_35_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_35_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,23200,garmin_seconds,2024-08-04T00:25:39+00:00,2024-08-04T02:31:28+00:00,125.82,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_36_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_36_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,8015,garmin_seconds,2024-08-04T00:23:14+00:00,2024-08-04T02:36:34+00:00,133.33,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
qixing_lengshuikeng_37_1_backend_activity_enriched_v1l2_osm_radar_evidence.csv,qixing_lengshuikeng_37_1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,9533,garmin_seconds,2024-08-04T00:24:03+00:00,2024-08-04T03:02:34+00:00,158.52,OK,weather\tw_weather_2026-05-01.sqlite3,True,True,2026-03-24T11:00:00+00:00,2026-04-30T23:30:00+00:00,1140566,False,0,NO_MATCHING_WEATHER_OBSERVATIONS,ACTIVITY_WINDOW_OUTSIDE_WEATHER_OBSERVATION_RANGE,False,missing_remains_missing; observed_zero_only_if_raw_observation_is_zero
