schema_version,output_case,case_id,activity_id,activity_start_time_utc,activity_end_time_utc,weather_sensitive_score_allowed,primary_candidate_station_ids,primary_candidate_station_names,fog_low_cloud_condition_proxy_status,fog_low_cloud_condition_proxy_confidence,fog_low_cloud_condition_proxy_index_v1,wet_cold_exposure_context_status,wet_cold_exposure_index_v1,sunshine_direct_observation_status,uv_direct_observation_status,wbgt_status,heat_illness_medical_claim_status,thci_or_final_risk_status,scope_note,activity_weather_row_count,activity_observed_station_count,activity_observed_station_ids,temperature_nonnull_count,temperature_mean_c,temperature_max_c,relative_humidity_nonnull_count,relative_humidity_mean_pct,relative_humidity_max_pct,wind_speed_nonnull_count,wind_speed_mean_ms,wind_speed_max_ms,wind_class,precipitation_nonnull_count,precipitation_positive_row_count,precipitation_max_observed_mm,daytime_heat_window_row_count,daytime_heat_window_ratio,sunshine_duration_available_row_count,uv_index_available_row_count,heat_index_status,heat_index_c,heat_humid_stress_context_status,heat_humid_stress_context_confidence,heat_humid_stress_index_v1,heat_humid_stress_context_reason,heat_humid_stress_context_evidence,zero_fallback_true_count
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_13_1,2024-08-11T00:58:17+00:00,2024-08-11T03:16:38+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_14_1,2024-08-11T00:57:11+00:00,2024-08-11T02:56:51+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_15_1,2024-08-04T00:59:32+00:00,2024-08-04T02:55:27+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_16_1,2024-08-11T00:10:01+00:00,2024-08-11T02:59:46+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_20_1,2024-08-11T00:29:14+00:00,2024-08-11T02:59:11+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_23_1,2024-08-11T00:27:56+00:00,2024-08-11T03:36:20+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_28_1,2024-08-04T01:10:41+00:00,2024-08-04T03:34:22+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_29_1,2024-08-24T01:22:26+00:00,2024-08-24T03:29:14+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_30_1,2024-08-04T00:24:51+00:00,2024-08-04T02:31:41+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
ib3w_heat_humid_stress_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_33_1,2024-08-25T00:53:06+00:00,2024-08-25T02:42:28+00:00,False,466910|466930|A0A460|C0AC40,,BLOCKED_BY_GATE,NOT_EVALUATED,,BLOCKED_BY_GATE,,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,NOT_COMPUTED_CONTEXT_ONLY,"Heat/humid stress context only. No WBGT, no UV, no direct sunshine, no heat illness diagnosis, no medical judgment, no THCI, no final hiking risk score, no missing-to-zero imputation.",0,0,,0,,,0,,,0,,,WIND_UNKNOWN,0,0,,0,,0,0,NOT_EVALUATED,,BLOCKED_BY_GATE,NOT_EVALUATED,,Weather-sensitive feature gate did not allow heat/humid stress evaluation.,,0
