schema_version,summary_type,summary_key,activity_count,score_allowed_count,zero_fallback_true_count
ib3w_heat_humid_stress_context_v1,heat_humid_stress_context_status,BLOCKED_BY_GATE,26,0,0
ib3w_heat_humid_stress_context_v1,heat_humid_stress_context_status,HEAT_HUMID_STRESS_CONTEXT_NOT_SUPPORTED_BY_AVAILABLE_WEATHER,1,1,0
ib3w_heat_humid_stress_context_v1,heat_humid_stress_context_confidence,LOW_PROXY_ONLY,1,1,0
ib3w_heat_humid_stress_context_v1,heat_humid_stress_context_confidence,NOT_EVALUATED,26,0,0
ib3w_heat_humid_stress_context_v1,heat_index_status,HEAT_INDEX_NOT_COMPUTED_TEMPERATURE_BELOW_STANDARD_THRESHOLD,1,1,0
ib3w_heat_humid_stress_context_v1,heat_index_status,NOT_EVALUATED,26,0,0
ib3w_heat_humid_stress_context_v1,sunshine_direct_observation_status,SUNSHINE_DURATION_UNAVAILABLE_IN_CURRENT_DB,27,1,0
ib3w_heat_humid_stress_context_v1,uv_direct_observation_status,UV_INDEX_UNAVAILABLE_IN_CURRENT_DB,27,1,0
ib3w_heat_humid_stress_context_v1,wbgt_status,NOT_COMPUTED_NO_WBGT_SOLAR_RADIATION_OR_GLOBE_TEMPERATURE,27,1,0
ib3w_heat_humid_stress_context_v1,heat_illness_medical_claim_status,NOT_CLAIMED_NOT_MEDICAL_DIAGNOSIS,27,1,0
ib3w_heat_humid_stress_context_v1,thci_or_final_risk_status,NOT_COMPUTED_CONTEXT_ONLY,27,1,0
ib3w_heat_humid_stress_context_v1,overall,ALL_ACTIVITIES,27,1,0
