schema_version,output_case,case_id,activity_id,activity_start_time_utc,activity_end_time_utc,weather_sensitive_score_allowed,antecedent_precipitation_context_status,antecedent_precipitation_data_quality,precipitation_amount_semantics,surface_wetness_proxy_status,surface_wetness_proxy_confidence,surface_wetness_proxy_reason,surface_wetness_proxy_input_quality,surface_wetness_proxy_net_index,wetness_pressure_index,drying_potential_index,surface_wetness_proxy_evidence,rain_lookback_6h_status,rain_lookback_6h_max_observed_precipitation_mm,rain_lookback_24h_status,rain_lookback_24h_max_observed_precipitation_mm,rain_lookback_72h_status,rain_lookback_72h_max_observed_precipitation_mm,rain_lookback_7d_status,rain_lookback_7d_max_observed_precipitation_mm,positive_rain_local_dates_count_lookback_7d,positive_rain_local_dates_lookback_7d,hours_since_last_observed_rain,last_observed_rain_time_utc,last_observed_rain_station_ids,last_observed_rain_station_names,last_observed_rain_precipitation_mm_max,temperature_c_mean_primary,relative_humidity_pct_mean_primary,wind_speed_ms_mean_primary,wind_speed_ms_max_primary,sunshine_context_status,terrain_surface_context_status,soil_moisture_claim_status,zero_fallback_true_count,source_antecedent_csv,source_vector_csv,scope_note
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_13_1,2024-08-11T00:58:17+00:00,2024-08-11T03:16:38+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_14_1,2024-08-11T00:57:11+00:00,2024-08-11T02:56:51+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_15_1,2024-08-04T00:59:32+00:00,2024-08-04T02:55:27+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_16_1,2024-08-11T00:10:01+00:00,2024-08-11T02:59:46+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_20_1,2024-08-11T00:29:14+00:00,2024-08-11T02:59:11+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_23_1,2024-08-11T00:27:56+00:00,2024-08-11T03:36:20+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_28_1,2024-08-04T01:10:41+00:00,2024-08-04T03:34:22+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_29_1,2024-08-24T01:22:26+00:00,2024-08-24T03:29:14+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_30_1,2024-08-04T00:24:51+00:00,2024-08-04T02:31:41+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
ib3w_surface_wetness_proxy_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_33_1,2024-08-25T00:53:06+00:00,2024-08-25T02:42:28+00:00,False,BLOCKED_BY_GATE,BLOCKED_BY_GATE,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,BLOCKED_BY_GATE,NOT_EVALUATED,Weather-sensitive feature gate did not allow evaluation.,WEATHER_CONTEXT_PARTIAL,0.0,0.0,0.0,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,BLOCKED_BY_GATE,,,,,,,,,,,,,SUNSHINE_NOT_AVAILABLE_IN_CURRENT_FEATURE_VECTOR_V1,NOT_JOINED_IN_V1,NOT_CLAIMED_PROXY_ONLY,0,outputs\ib3w_antecedent_precipitation_context_v1\activity_antecedent_precipitation_context.csv,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Surface wetness proxy only. No true soil moisture claim, no hiking risk score, no THCI, no terrain/surface join, no missing-to-zero imputation."
