event_id,event_type,start_elapsed_sec,end_elapsed_sec,activity_point_count_in_interval,safe_route_point_count_in_interval,route_dist_min_m,route_dist_max_m,event_mapping_status,event_mapping_reason
1,short_pause,988.0,1008.0,21,21,3495.0,3495.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
2,short_pause,1010.0,1035.0,26,26,3496.0,3496.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
4,short_pause,1145.0,1180.0,36,36,3495.0,3495.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
5,high_hr_recovery_stop,1929.0,1952.0,24,24,2856.0,2856.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
6,high_hr_recovery_stop,2046.0,2096.0,51,51,2814.0,2814.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
7,high_hr_recovery_stop,2117.0,2137.0,21,20,2805.0,2805.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
8,high_hr_recovery_stop,2225.0,2246.0,22,22,2755.0,2755.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
9,high_hr_recovery_stop,2427.0,2454.0,28,28,2682.0,2682.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
10,high_hr_recovery_stop,2491.0,2506.0,16,15,2665.0,2665.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
11,high_hr_recovery_stop,2636.0,2654.0,19,19,2593.0,2593.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
12,short_pause,3143.0,3162.0,20,20,2362.0,2362.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
13,high_hr_recovery_stop,3675.0,3693.0,20,20,2098.0,2098.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
14,high_hr_recovery_stop,3694.0,3715.0,22,22,2098.0,2098.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
15,high_hr_recovery_stop,3722.0,3737.0,16,16,2099.0,2099.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
16,short_pause,3752.0,3767.0,16,16,2100.0,2100.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
20,short_pause,4298.0,4316.0,19,19,2097.0,2097.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
21,high_hr_recovery_stop,4821.0,4848.0,28,28,2352.0,2352.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
22,short_pause,4850.0,4866.0,17,17,2353.0,2353.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
23,short_pause,4985.0,5009.0,25,25,2401.0,2401.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
24,short_pause,5801.0,5818.0,18,18,2807.0,2807.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
25,short_pause,5846.0,5862.0,17,17,2827.0,2827.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
26,short_pause,5904.0,5952.0,49,49,2838.0,2838.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
27,short_pause,5954.0,6003.0,50,50,2839.0,2839.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
28,short_pause,6007.0,6051.0,45,45,2837.0,2837.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
29,short_pause,6053.0,6099.0,47,47,2836.0,2836.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
30,short_pause,6101.0,6155.0,55,55,2835.0,2835.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
32,short_pause,6246.0,6275.0,30,30,2836.0,2836.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
33,short_pause,6277.0,6306.0,30,30,2837.0,2837.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
35,short_pause,6383.0,6398.0,16,16,2838.0,2838.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
36,short_pause,6409.0,6457.0,49,49,2837.0,2837.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
37,short_pause,7785.0,7806.0,22,21,3987.0,3987.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
38,short_pause,7980.0,7995.0,16,16,4098.0,4098.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
39,terminal_artifact,8132.0,10290.0,2181,39,4187.392949094119,4187.392949094119,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
