event_id,event_type,start_elapsed_sec,end_elapsed_sec,activity_point_count_in_interval,safe_route_point_count_in_interval,route_dist_min_m,route_dist_max_m,event_mapping_status,event_mapping_reason
1,high_hr_recovery_stop,472.0,569.0,98,98,3932.0,3932.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
2,short_pause,831.0,890.0,60,60,3789.0,3789.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
4,short_pause,1277.0,1293.0,17,17,3483.0,3483.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
5,short_pause,1337.0,1353.0,17,17,3495.0,3495.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
6,short_pause,1779.0,1815.0,37,37,3120.0,3120.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
7,short_pause,2240.0,2257.0,18,18,2858.0,2858.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
10,short_pause,2592.0,2621.0,30,30,2815.0,2815.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
11,high_hr_recovery_stop,2732.0,2821.0,90,90,2777.0,2777.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
12,short_pause,2893.0,2920.0,28,28,2744.0,2744.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
13,short_pause,2936.0,2982.0,47,47,2739.0,2739.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
14,short_pause,3053.0,3088.0,36,36,2705.0,2705.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
15,high_hr_recovery_stop,3142.0,3188.0,47,47,2685.0,2685.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
