event_id,event_type,start_elapsed_sec,end_elapsed_sec,activity_point_count_in_interval,safe_route_point_count_in_interval,route_dist_min_m,route_dist_max_m,event_mapping_status,event_mapping_reason
1,high_hr_recovery_stop,179.0,199.0,21,21,163.0,163.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
2,high_hr_recovery_stop,341.0,367.0,27,27,232.0,232.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
3,short_pause,384.0,410.0,27,27,233.0,233.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
4,short_pause,421.0,478.0,58,58,233.0,233.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
5,high_hr_recovery_stop,962.0,981.0,20,20,565.0,565.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
6,high_hr_recovery_stop,990.0,1041.0,52,52,567.0,567.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
7,short_pause,1163.0,1187.0,25,25,3339.0,3339.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
8,short_pause,1192.0,1245.0,54,54,3339.0,3339.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
9,short_pause,1310.0,1346.0,37,37,3288.0,3288.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
11,high_hr_recovery_stop,2369.0,2445.0,77,77,2750.0,2750.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
12,short_pause,2447.0,2491.0,45,45,2749.0,2749.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
13,high_hr_recovery_stop,2624.0,2882.0,259,259,2686.0,2686.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
14,high_hr_recovery_stop,3087.0,3188.0,102,102,2581.0,2581.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
15,short_pause,3193.0,3212.0,20,20,2579.0,2579.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
16,high_hr_recovery_stop,3251.0,3291.0,41,41,2562.0,2562.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
18,high_hr_recovery_stop,3726.0,3770.0,45,45,2386.0,2386.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
19,high_hr_recovery_stop,4120.0,4147.0,28,28,2176.0,2176.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
20,high_hr_recovery_stop,4238.0,4289.0,52,52,2132.0,2132.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
22,short_pause,4456.0,4475.0,20,20,2097.0,2097.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
23,short_pause,4477.0,4495.0,19,19,2098.0,2098.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
24,short_pause,4497.0,4537.0,41,41,2099.0,2099.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
25,short_pause,4539.0,4587.0,49,49,2098.0,2098.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
27,high_hr_recovery_stop,5377.0,5466.0,90,90,2348.0,2348.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
28,high_hr_recovery_stop,5546.0,5613.0,68,68,2380.0,2380.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
29,short_pause,5799.0,5816.0,18,18,2529.0,2529.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
30,short_pause,7109.0,7127.0,19,19,3475.0,3475.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
32,terminal_artifact,8122.0,10185.0,2077,40,4187.392949094119,4187.392949094119,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
