event_id,event_type,start_elapsed_sec,end_elapsed_sec,activity_point_count_in_interval,safe_route_point_count_in_interval,route_dist_min_m,route_dist_max_m,event_mapping_status,event_mapping_reason
1,short_pause,482.0,501.0,20,20,3961.0,3961.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
2,short_pause,1159.0,1202.0,44,44,3604.0,3604.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
3,short_pause,1206.0,1237.0,32,32,3601.0,3601.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
4,short_pause,1239.0,1277.0,39,39,3603.0,3603.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
6,short_pause,1407.0,1431.0,25,25,3603.0,3603.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
8,short_pause,1500.0,1526.0,27,27,3600.0,3600.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
9,short_pause,2303.0,2334.0,32,32,2909.0,2909.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
10,short_pause,2338.0,2377.0,40,40,2911.0,2911.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
11,short_pause,2549.0,2581.0,33,33,2814.0,2814.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
12,high_hr_recovery_stop,2710.0,2726.0,17,16,2769.0,2769.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
13,short_pause,3092.0,3117.0,26,26,2594.0,2594.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
14,short_pause,3274.0,3289.0,16,16,2520.0,2520.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
15,short_pause,3600.0,3629.0,30,30,2386.0,2386.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
17,short_pause,3750.0,3772.0,23,23,2383.0,2383.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
18,short_pause,3779.0,3800.0,22,22,2381.0,2381.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
22,short_pause,5653.0,5678.0,27,27,2097.0,2097.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
24,short_pause,5842.0,5858.0,17,17,2105.0,2105.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
25,short_pause,6356.0,6398.0,43,43,2353.0,2353.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
26,short_pause,6551.0,6568.0,18,17,2405.0,2405.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
27,short_pause,6755.0,6774.0,20,20,2563.0,2563.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
28,short_pause,6776.0,6832.0,57,57,2564.0,2564.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
29,short_pause,6834.0,6889.0,56,56,2565.0,2565.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
30,short_pause,6898.0,6922.0,25,25,2567.0,2567.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
31,short_pause,6951.0,7006.0,56,56,2578.0,2578.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
32,short_pause,7012.0,7035.0,24,23,2580.0,2580.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
33,short_pause,7169.0,7187.0,19,18,2660.0,2660.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
34,short_pause,7220.0,7243.0,24,24,2678.0,2678.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
35,short_pause,7273.0,7290.0,18,18,2689.0,2689.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
36,short_pause,7489.0,7509.0,21,21,2789.0,2789.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
37,short_pause,7666.0,7688.0,23,23,2814.0,2814.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
38,short_pause,8076.0,8096.0,21,21,3092.0,3092.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
40,short_pause,9110.0,9125.0,16,16,3965.0,3965.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
41,short_pause,9127.0,9150.0,25,25,3966.0,3966.0,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
42,terminal_artifact,9462.0,11567.0,2141,139,4187.0,4187.392949094119,ROUTE_WINDOW_OVERLAY_READY,event interval has IB3A2 elapsed-time points with reliable route distance
