schema_version,case_id,activity_id,weather_context_consumption_gate,downstream_score_allowed,thci_authorization_status,radar_authorization_status,final_hiking_risk_authorization_status,radar_consumer,radar_consumer_invocation_allowed,radar_consumer_invocation_blocked,radar_consumer_blocking_reasons,actual_radar_consumer_invoked,enforcement_violation,enforcement_action
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_13_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_14_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_15_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_16_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_20_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_23_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_28_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_29_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_30_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
ib3m_weather_gate_enforced_radar_consumer_smoke_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_33_1,BLOCK_SCORE_WEATHER_UNAVAILABLE,False,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,NOT_AUTHORIZED_BY_IB3W_GATE,scripts/thci_plot_radar_v1_0c.py,False,True,downstream_score_allowed_not_true|thci_not_authorized_by_ib3w_gate|radar_not_authorized_by_ib3w_gate|final_hiking_risk_not_authorized_by_ib3w_gate,False,False,BLOCK_RADAR_CONSUMER_INVOCATION
