"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","959.0","25.5","87","2.1","297","7.2","271","0.0"
"02","958.3","25.3","89","2.7","302","7.7","302","0.0"
"03","957.7","25.2","88","1.5","314","9.2","280","0.0"
"04","957.7","25.1","87","3.2","309","8.2","317","0.0"
"05","957.8","24.9","87","1.8","326","7.5","282","0.0"
"06","957.8","24.9","87","2.0","301","5.6","337","0.0"
"07","958.1","25.4","84","2.5","297","6.0","311","0.0"
"08","958.4","26.2","79","1.7","289","5.8","281","0.0"
"09","959.2","26.9","78","1.1","261","5.3","310","0.0"
"10","959.4","27.5","75","1.1","263","3.2","271","0.0"
"11","959.6","28.7","69","1.7","273","6.1","268","0.0"
"12","--","--","--","--","--","4.0","207","&"
"13","--","--","--","--","--","3.0","32","0.0"
"14","958.0","29.7","67","1.5","110","2.6","39","0.0"
"15","--","--","--","--","--","4.0","77","0.5"
"16","--","--","--","--","--","5.2","318","34.0"
"17","957.9","24.7","97","0.9","356","2.8","277","6.0"
"18","957.9","24.5","96","0.6","3","2.5","335","0.0"
"19","958.7","24.8","95","1.0","355","2.1","24","1.5"
"20","959.2","24.4","97","1.2","358","3.7","21","25.0"
"21","--","--","--","--","--","2.3","12","0.5"
"22","960.1","24.3","92","1.9","360","5.1","325","0.5"
"23","960.1","24.9","84","2.2","359","7.1","338","0.0"
"24","959.9","24.4","87","1.4","7","5.2","341","0.0"
