"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","937.5","1005.6","22.8","22.8","100","0.7","20","6.2","140","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"02","937.4","1005.6","22.5","22.5","100","1.4","40","4.7","280","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"03","938.2","1006.3","22.8","22.5","98","1.3","310","4.1","360","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"04","937.8","1005.9","22.9","22.4","97","2.1","340","4.8","360","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"05","938.3","1006.5","22.5","22.5","100","0.8","40","4.4","40","0.0","X","--","0.00","--","0","--","10.0","23.1","23.9","23.7","24.0","24.6","24.9","24.7"
"06","939.3","1007.5","23.1","22.9","99","1.1","90","8.4","20","0.0","X","0.0","0.01","--","0","--","10.0","--","--","--","--","--","--","--"
"07","939.7","1007.7","23.7","23.2","97","4.1","20","9.1","50","0.0","0.0","0.0","0.14","--","0","--","10.0","--","--","--","--","--","--","--"
"08","940.6","1008.6","24.3","23.6","96","2.2","20","9.7","10","0.5","0.9","0.0","0.36","5.0","1","10.0","10.0","--","--","--","--","--","--","--"
"09","941.4","1009.7","23.3","23.3","100","0.3","350","3.8","220","2.0","1.0","0.0","0.29","3.0","1","10.0","10.0","23.2","24.0","23.7","24.0","24.6","24.9","24.7"
"10","941.9","1009.9","24.5","24.3","99","0.8","160","5.0","310","1.0","1.0","0.0","1.00","--","4","--","10.0","--","--","--","--","--","--","--"
"11","941.5","1009.6","24.0","23.3","96","2.6","360","7.8","310","0.5","1.0","0.0","1.44","5.0","6","10.0","10.0","--","--","--","--","--","--","--"
"12","941.3","1009.5","23.7","22.9","95","2.0","20","10.1","350","8.0","1.0","0.0","0.35","--","2","--","10.0","--","--","--","--","--","--","--"
"13","940.7","1009.0","23.1","22.8","98","1.4","V","8.0","350","7.5","1.0","0.0","0.17","--","1","--","10.0","--","--","--","--","--","--","--"
"14","940.8","1009.1","22.9","22.4","97","1.2","50","6.4","280","6.0","1.0","0.0","0.11","3.0","0","10.0","10.0","23.4","24.2","23.8","23.9","24.5","24.8","24.7"
"15","941.1","1009.5","22.6","22.4","99","1.0","310","7.0","360","5.5","1.0","0.0","0.08","--","0","--","10.0","--","--","--","--","--","--","--"
"16","941.1","1009.4","23.0","22.5","97","2.7","340","7.3","360","6.5","1.0","0.0","0.05","--","0","--","10.0","--","--","--","--","--","--","--"
"17","942.1","1010.6","22.7","22.5","99","1.1","260","7.1","10","5.5","1.0","0.0","0.04","3.0","0","10.0","10.0","--","--","--","--","--","--","--"
"18","942.2","1010.6","23.1","22.6","97","3.7","360","8.5","340","22.0","1.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--","--"
"19","943.1","1011.7","22.4","22.2","99","2.6","300","7.9","360","18.0","1.0","0.0","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"20","944.1","1012.8","22.4","22.2","99","2.5","180","6.6","340","35.0","1.0","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"21","945.2","1014.0","22.3","22.3","100","1.8","360","5.2","190","62.0","1.0","--","0.00","--","0","--","10.0","22.0","22.6","22.4","22.2","23.2","24.6","24.7"
"22","944.9","1013.7","22.1","22.1","100","0.8","360","3.8","350","41.5","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"23","944.4","1013.1","22.4","22.2","99","6.0","360","11.0","360","30.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"24","945.0","1013.8","22.3","22.1","99","2.6","360","11.2","20","1.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
