"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","890.2","21.7","95","8.5","263","13.2","270","0.0"
"02","889.5","21.5","95","8.8","280","17.6","272","0.0"
"03","888.6","21.5","95","11.0","268","17.6","254","0.5"
"04","888.5","20.8","95","11.2","264","16.0","257","0.0"
"05","888.7","20.4","95","9.6","269","16.0","269","0.0"
"06","--","--","--","--","--","16.0","271","0.0"
"07","888.9","20.2","95","10.8","279","15.4","336","0.5"
"08","889.3","20.2","95","9.3","268","18.2","259","0.0"
"09","890.2","21.4","95","7.1","303","13.7","267","0.0"
"10","890.4","21.8","95","6.1","293","11.5","280","0.0"
"11","890.8","22.1","96","6.8","257","11.0","287","0.0"
"12","890.8","22.4","95","5.2","254","11.5","232","0.0"
"13","890.6","23.2","95","2.2","308","8.8","237","0.0"
"14","889.9","23.9","94","1.5","316","3.5","330","0.0"
"15","889.2","23.2","95","1.2","327","4.1","354","&"
"16","888.9","22.5","95","3.4","285","11.0","346","0.0"
"17","889.1","21.6","95","5.3","231","7.7","226","5.0"
"18","889.4","22.0","95","3.5","245","6.6","224","0.5"
"19","889.9","21.9","95","5.3","289","8.8","254","0.0"
"20","890.5","21.8","95","4.6","265","7.7","255","0.0"
"21","891.3","21.0","95","7.8","274","11.5","238","1.0"
"22","890.9","20.0","95","11.6","281","16.0","261","1.0"
"23","891.0","19.9","95","10.1","277","16.0","299","0.0"
"24","890.8","19.8","95","7.4","251","13.7","252","0.0"
