"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","887.9","21.1","95","10.0","294","14.3","254","0.0"
"02","887.8","20.0","95","10.4","316","16.0","239","0.0"
"03","888.7","20.7","95","8.3","339","16.0","353","0.0"
"04","888.4","20.8","95","7.8","327","12.1","355","0.0"
"05","889.1","21.0","95","3.7","86","10.4","354","0.0"
"06","890.1","21.2","95","2.6","20","8.2","351","0.0"
"07","890.3","21.4","95","3.7","49","11.0","67","0.5"
"08","891.1","21.9","95","1.4","7","7.7","139","1.0"
"09","892.2","22.5","95","0.4","31","7.7","70","0.0"
"10","892.6","22.1","95","4.8","13","9.9","30","0.5"
"11","892.3","21.5","95","6.3","10","12.1","17","3.0"
"12","891.9","21.1","95","6.6","10","14.3","347","9.5"
"13","891.0","20.5","95","8.0","15","15.4","120","8.5"
"14","891.4","20.0","95","5.6","339","13.2","21","9.5"
"15","891.5","20.1","95","6.8","330","12.1","16","8.0"
"16","891.9","20.1","95","6.1","13","13.2","322","12.0"
"17","892.4","20.6","95","5.4","348","10.4","24","13.5"
"18","893.1","20.3","95","5.9","21","12.6","35","33.0"
"19","893.6","20.3","95","6.0","41","14.3","30","16.0"
"20","894.7","20.0","95","1.5","352","6.6","8","33.5"
"21","895.5","19.7","95","1.5","104","8.8","354","60.0"
"22","895.4","20.0","95","1.6","6","6.0","255","17.0"
"23","895.4","20.1","95","5.6","15","12.6","32","30.5"
"24","895.7","19.2","95","4.8","308","12.1","344","0.5"
