"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","963.0","23.5","92","0.9","18","3.2","348","0.0"
"02","962.8","24.4","89","1.7","356","3.7","21","0.0"
"03","962.6","24.9","93","1.4","356","3.7","350","&"
"04","962.3","24.3","93","1.1","2","3.8","332","0.0"
"05","962.4","23.6","93","0.8","8","1.7","11","0.0"
"06","962.3","23.4","94","1.4","5","1.7","13","0.0"
"07","962.7","25.4","86","0.7","360","2.1","341","0.0"
"08","963.2","27.6","75","1.0","86","3.3","63","0.0"
"09","963.4","28.6","75","1.2","175","4.5","103","0.0"
"10","963.4","29.2","73","1.6","126","3.6","121","0.0"
"11","963.1","29.2","74","1.7","264","5.0","150","0.0"
"12","963.0","28.8","73","1.8","38","5.6","50","0.0"
"13","962.5","29.1","73","1.8","29","4.9","28","0.0"
"14","961.9","29.0","74","3.0","85","6.9","59","0.0"
"15","961.4","29.1","72","2.8","33","6.5","51","0.0"
"16","961.0","28.9","70","2.3","19","6.2","45","0.0"
"17","961.0","28.3","72","1.7","26","7.3","35","0.0"
"18","961.3","27.3","82","1.7","57","4.3","68","0.0"
"19","961.4","26.8","81","1.4","45","3.4","350","0.0"
"20","961.7","26.4","81","1.3","91","2.9","57","0.0"
"21","962.1","25.1","88","1.1","360","2.4","58","0.0"
"22","962.1","24.9","90","1.2","352","2.0","11","0.0"
"23","962.2","24.6","91","0.7","4","1.9","9","0.0"
"24","961.6","25.0","92","0.8","358","1.9","12","0.0"
