"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","941.9","1010.3","23.0","22.8","99","0.2","0","1.7","360","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"02","941.7","1009.9","23.5","23.3","99","0.5","340","2.4","300","0.0","X","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
"03","941.7","1009.9","23.5","22.8","96","0.7","320","2.6","100","0.0","X","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
"04","941.7","1010.0","23.3","21.8","91","1.2","340","3.6","360","0.0","X","--","0.00","--","0","--","9.0","--","--","--","--","--","--","--"
"05","941.6","1010.0","22.6","21.8","95","0.1","0","2.8","130","0.0","X","--","0.00","--","0","--","8.0","24.2","25.2","25.1","25.2","25.5","25.0","24.6"
"06","941.8","1010.3","22.4","21.9","97","0.5","40","1.8","20","0.0","X","0.0","0.01","--","0","--","1.0","--","--","--","--","--","--","--"
"07","942.3","1010.8","22.5","21.8","96","0.1","0","2.1","160","0.0","0.0","0.1","0.16","--","0","--","1.0","--","--","--","--","--","--","--"
"08","942.5","1010.8","23.5","22.5","94","0.5","200","2.2","230","0.0","0.0","1.0","1.23","40.0","2","3.0","1.0","--","--","--","--","--","--","--"
"09","942.8","1010.8","24.7","23.0","90","1.2","180","3.8","100","0.0","0.0","0.9","1.83","35.0","4","3.0","1.0","23.9","25.0","25.0","25.1","25.5","25.0","24.6"
"10","942.8","1010.7","25.2","23.6","91","1.2","160","3.8","100","0.0","0.0","0.6","1.81","--","5","--","3.0","--","--","--","--","--","--","--"
"11","942.6","1010.1","26.7","24.4","87","1.6","170","3.9","200","0.0","0.0","0.2","1.19","35.0","5","3.0","4.0","--","--","--","--","--","--","--"
"12","942.1","1009.4","27.5","22.9","76","1.0","160","4.6","180","0.0","0.0","0.4","2.01","--","7","--","3.0","--","--","--","--","--","--","--"
"13","941.5","1008.5","28.7","22.7","70","2.1","180","4.9","220","0.0","0.0","1.0","3.65","--","11","--","2.0","--","--","--","--","--","--","--"
"14","940.8","1007.9","28.1","22.8","73","1.1","200","5.8","210","0.0","0.0","0.8","2.56","30.0","8","4.0","--","25.0","25.3","24.8","25.0","25.4","25.1","24.6"
"15","940.5","1007.5","28.3","23.2","74","1.1","300","3.3","310","0.0","0.0","0.9","2.68","--","6","--","6.0","--","--","--","--","--","--","--"
"16","940.3","1007.9","25.8","25.1","96","0.2","0","3.2","10","3.0","0.8","0.2","0.93","--","2","--","4.0","--","--","--","--","--","--","--"
"17","940.2","1007.8","25.6","25.3","98","0.9","150","4.0","20","0.0","0.0","0.8","1.19","12.0","1","7.0","2.0","--","--","--","--","--","--","--"
"18","940.7","1008.6","24.6","24.4","99","0.2","0","2.4","200","0.0","0.0","0.0","0.11","--","0","--","6.0","--","--","--","--","--","--","--"
"19","940.7","1008.7","24.3","24.1","99","0.4","10","2.2","80","0.0","0.0","0.0","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"20","940.9","1009.1","23.4","23.2","99","0.6","30","1.4","40","0.0","0.0","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"21","941.4","1009.7","23.1","22.9","99","0.8","40","1.7","60","0.0","0.0","--","0.00","--","0","--","6.0","25.5","26.0","25.5","25.1","25.4","25.0","24.6"
"22","941.3","1009.8","22.2","22.0","99","1.4","30","2.4","40","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"23","941.1","1009.6","22.3","22.1","99","1.2","40","2.2","20","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"24","940.8","1009.4","21.8","21.5","98","1.1","40","2.1","60","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
