"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","961.2","21.1","97","0.6","24","2.2","19","0.0"
"02","960.7","22.3","91","1.3","93","4.1","125","0.0"
"03","960.7","22.0","94","1.7","68","3.9","103","0.0"
"04","--","--","--","--","--","3.7","61","0.0"
"05","--","--","--","--","--","--","--","&"
"06","--","--","--","--","--","1.8","17","0.0"
"07","--","--","--","--","--","--","--","0.0"
"08","962.2","24.0","86","1.5","159","3.0","138","0.0"
"09","962.4","25.4","82","1.7","140","4.0","143","0.0"
"10","962.1","26.5","76","1.4","133","4.3","139","0.0"
"11","961.8","27.9","62","1.3","206","4.3","248","0.0"
"12","961.4","28.6","56","1.0","288","4.6","265","0.0"
"13","960.9","28.0","65","2.5","255","5.6","228","0.0"
"14","960.5","27.4","67","2.2","281","5.6","279","0.0"
"15","960.3","26.5","73","1.9","275","5.9","282","0.0"
"16","959.9","25.5","80","1.2","285","4.9","231","0.0"
"17","959.9","24.5","89","0.6","306","3.9","281","0.0"
"18","960.6","23.9","93","1.3","330","4.3","319","0.0"
"19","961.1","23.5","96","1.1","324","5.5","354","0.0"
"20","961.6","23.2","98","1.6","327","5.0","329","0.0"
"21","962.0","23.1","98","1.9","328","3.9","319","0.0"
"22","962.1","23.1","99","0.5","324","4.4","342","0.0"
"23","961.9","22.9","100","0.3","322","2.5","19","0.0"
"24","961.6","22.1","100","0.5","315","0.9","315","0.0"
