"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","941.8","1009.8","24.4","21.9","86","0.8","20","3.5","30","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"02","941.2","1009.2","24.3","22.0","87","1.0","40","3.0","50","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"03","941.0","1009.1","23.7","22.3","92","0.8","50","2.2","60","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"04","941.1","1009.3","23.3","22.3","94","0.6","50","1.5","60","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"05","941.3","1009.6","23.1","22.4","96","0.6","50","1.2","50","0.0","X","--","0.00","--","0","--","6.0","25.3","26.4","26.2","26.0","26.0","25.2","24.0"
"06","941.3","1009.6","23.2","22.4","95","0.7","50","1.6","30","0.0","X","0.0","0.03","--","0","--","0.0","--","--","--","--","--","--","--"
"07","941.3","1009.5","23.5","22.7","95","0.7","40","1.4","20","0.0","0.0","0.2","0.27","--","0","--","3.0","--","--","--","--","--","--","--"
"08","941.1","1009.1","24.5","23.3","93","0.3","180","1.7","20","0.0","0.0","1.0","1.32","40.0","2","3.0","9.0","--","--","--","--","--","--","--"
"09","940.8","1008.2","26.6","23.3","82","1.3","170","4.0","120","0.0","0.0","1.0","1.92","40.0","4","4.0","8.0","25.0","26.0","26.0","25.9","26.0","25.2","24.1"
"10","940.4","1007.4","28.5","23.7","75","1.0","90","6.0","60","0.0","0.0","0.9","2.70","--","7","--","8.0","--","--","--","--","--","--","--"
"11","940.0","1006.6","29.8","24.2","72","1.5","120","5.7","160","0.0","0.0","1.0","3.27","40.0","10","4.0","3.0","--","--","--","--","--","--","--"
"12","939.1","1005.6","30.3","24.7","72","1.7","120","5.8","70","0.0","0.0","1.0","3.75","--","12","--","1.0","--","--","--","--","--","--","--"
"13","938.6","1005.1","30.2","25.1","74","1.3","20","5.8","90","0.0","0.0","0.9","3.75","--","12","--","1.0","--","--","--","--","--","--","--"
"14","938.4","1005.0","29.4","24.3","74","1.7","90","7.5","20","0.0","0.0","1.0","3.52","40.0","10","3.0","1.0","26.5","26.6","25.9","25.8","26.0","25.2","24.1"
"15","938.1","1004.8","28.9","24.5","77","1.6","60","7.7","20","0.0","0.0","1.0","2.98","--","8","--","4.0","--","--","--","--","--","--","--"
"16","937.5","1004.3","28.5","24.1","77","1.8","80","6.9","80","0.0","0.0","1.0","2.31","--","5","--","3.0","--","--","--","--","--","--","--"
"17","937.5","1004.4","28.0","24.0","79","2.2","80","5.9","50","0.0","0.0","1.0","1.52","40.0","2","2.0","0.0","--","--","--","--","--","--","--"
"18","937.5","1004.7","26.5","23.6","84","1.8","80","6.6","70","0.0","0.0","0.9","0.63","--","0","--","0.0","--","--","--","--","--","--","--"
"19","937.8","1005.3","25.6","23.7","89","1.9","60","5.4","80","0.0","0.0","0.1","0.04","--","0","--","6.0","--","--","--","--","--","--","--"
"20","938.2","1005.7","25.6","23.3","87","1.2","40","5.8","60","0.0","0.0","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"21","938.5","1006.1","25.3","23.2","88","1.3","40","5.8","100","0.0","0.0","--","0.00","--","0","--","6.0","26.6","27.3","26.7","26.0","26.0","25.2","24.1"
"22","938.5","1006.0","25.5","23.6","89","1.2","50","5.1","70","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"23","938.1","1005.6","25.6","23.5","88","1.7","40","5.8","20","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"24","937.5","1005.0","25.2","23.6","91","1.8","30","5.0","50","0.0","X","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
