"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","892.6","19.3","69","8.0","281","12.6","355","0.0"
"02","892.2","19.4","66","7.7","293","12.6","235","0.0"
"03","892.2","18.8","78","6.0","347","10.4","353","0.0"
"04","892.4","18.4","85","4.3","345","9.3","355","0.0"
"05","892.8","17.3","97","2.5","333","7.1","355","0.0"
"06","893.0","17.2","96","5.6","333","9.3","288","0.0"
"07","893.4","17.5","96","3.6","213","8.2","353","0.0"
"08","893.7","18.9","97","2.5","113","6.0","194","0.0"
"09","893.9","19.3","97","2.0","161","5.5","150","0.0"
"10","893.9","22.2","90","0.7","173","6.6","172","0.0"
"11","893.8","22.9","73","2.3","342","6.6","355","0.0"
"12","893.4","22.5","90","1.7","355","7.1","355","0.0"
"13","892.9","20.7","96","3.6","354","5.5","355","0.0"
"14","892.4","20.7","97","2.5","346","7.7","355","0.0"
"15","892.0","19.4","96","5.1","353","8.8","355","0.0"
"16","891.6","18.6","100","4.7","343","9.9","355","0.0"
"17","891.6","18.7","100","5.1","345","8.2","355","0.0"
"18","892.2","18.8","100","4.6","333","7.7","355","0.0"
"19","892.7","18.8","100","5.0","346","8.2","355","0.0"
"20","892.9","18.4","100","5.3","329","8.8","355","0.0"
"21","893.4","18.5","100","2.9","333","8.2","354","0.0"
"22","893.5","18.5","100","3.6","287","7.7","235","0.0"
"23","893.3","18.2","100","4.7","251","8.2","238","0.0"
"24","893.0","18.1","100","3.4","276","9.9","349","0.0"
