"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","941.5","1009.6","24.0","23.3","96","0.7","40","1.7","40","0.0","X","--","0.00","--","0","--","5.0","--","--","--","--","--","--","--"
"02","941.1","1009.2","23.9","22.7","93","0.5","30","0.9","50","0.0","X","--","0.00","--","0","--","5.0","--","--","--","--","--","--","--"
"03","941.2","1009.3","23.7","22.7","94","0.5","30","1.6","30","0.0","X","--","0.00","--","0","--","5.0","--","--","--","--","--","--","--"
"04","941.4","1009.6","23.4","22.7","96","0.4","20","1.5","20","0.0","X","--","0.00","--","0","--","5.0","--","--","--","--","--","--","--"
"05","941.5","1009.6","23.9","23.4","97","0.8","350","2.0","360","0.0","X","--","0.00","--","0","--","6.0","25.9","27.0","26.8","26.4","26.4","25.5","24.5"
"06","942.1","1010.2","24.2","23.9","98","1.1","230","4.8","290","0.0","X","0.0","0.01","--","0","--","1.0","--","--","--","--","--","--","--"
"07","942.2","1010.2","24.6","22.9","90","0.7","300","3.2","300","0.0","0.0","0.0","0.22","--","0","--","1.0","--","--","--","--","--","--","--"
"08","942.2","1010.1","25.1","23.2","89","1.2","270","4.1","300","0.0","0.0","0.4","1.02","10.0","1","6.0","1.0","--","--","--","--","--","--","--"
"09","942.3","1010.0","26.1","23.4","85","0.9","190","3.5","300","0.0","0.0","0.7","1.67","12.0","4","3.0","1.0","25.7","26.7","26.6","26.4","26.5","25.5","24.5"
"10","942.2","1009.5","27.6","23.8","80","1.8","180","4.1","100","0.0","0.0","1.0","2.79","--","7","--","0.0","--","--","--","--","--","--","--"
"11","941.8","1008.8","28.7","24.9","80","1.6","180","3.5","210","0.0","0.0","1.0","3.33","10.0","10","4.0","1.0","--","--","--","--","--","--","--"
"12","941.4","1008.4","28.5","24.3","78","1.1","180","3.9","190","0.0","0.0","0.7","2.94","--","10","--","2.0","--","--","--","--","--","--","--"
"13","940.9","1007.8","29.1","24.9","78","0.9","270","3.9","220","0.0","0.0","0.3","1.92","--","6","--","2.0","--","--","--","--","--","--","--"
"14","940.5","1007.1","30.3","24.9","73","1.4","310","3.8","320","0.0","0.0","0.4","1.96","15.0","5","5.0","1.0","26.9","27.1","26.4","26.3","26.5","25.6","24.5"
"15","940.1","1007.1","28.4","24.2","78","0.9","60","4.6","360","0.0","0.0","0.3","1.35","--","4","--","3.0","--","--","--","--","--","--","--"
"16","939.6","1006.7","27.7","24.6","83","2.1","10","5.3","360","0.0","0.0","0.2","1.13","--","3","--","2.0","--","--","--","--","--","--","--"
"17","939.3","1006.3","28.0","25.1","84","0.9","210","3.6","200","0.0","0.0","0.5","0.96","15.0","1","8.0","1.0","--","--","--","--","--","--","--"
"18","939.4","1006.7","26.7","25.1","91","0.3","360","2.7","210","0.0","0.0","0.1","0.34","--","0","--","0.0","--","--","--","--","--","--","--"
"19","939.9","1007.6","25.4","24.2","93","0.5","40","1.5","90","0.0","0.0","0.0","0.03","--","0","--","3.0","--","--","--","--","--","--","--"
"20","940.9","1008.8","24.6","22.3","87","1.2","30","2.2","20","0.0","0.0","--","0.00","--","0","--","2.0","--","--","--","--","--","--","--"
"21","941.2","1009.2","24.2","22.3","89","0.6","40","1.9","30","0.0","0.0","--","0.00","--","0","--","2.0","27.0","27.7","27.0","26.4","26.5","25.6","24.5"
"22","941.5","1009.6","23.9","22.7","93","0.8","40","1.6","30","0.0","X","--","0.00","--","0","--","4.0","--","--","--","--","--","--","--"
"23","941.4","1009.7","23.2","22.2","94","1.0","40","1.7","30","0.0","X","--","0.00","--","0","--","4.0","--","--","--","--","--","--","--"
"24","941.2","1009.3","23.7","22.5","93","1.0","40","2.0","40","0.0","X","--","0.00","--","0","--","5.0","--","--","--","--","--","--","--"
