"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","957.0","24.0","99","1.7","324","3.4","250","0.0"
"02","956.9","23.8","99","1.7","347","3.8","333","0.0"
"03","957.5","24.7","87","2.6","346","5.3","330","0.0"
"04","957.2","24.8","87","1.7","350","5.9","360","0.0"
"05","958.1","24.4","90","2.1","79","4.9","331","&"
"06","958.8","25.3","88","1.6","48","7.5","56","0.0"
"07","959.3","25.6","86","2.8","63","9.9","41","0.0"
"08","959.9","25.1","93","0.8","115","7.9","69","&"
"09","961.1","24.8","97","0.5","4","3.2","136","0.5"
"10","961.6","25.5","93","1.5","87","3.7","82","0.0"
"11","961.2","25.2","92","1.8","84","5.4","6","0.5"
"12","961.1","24.4","94","1.4","44","7.8","56","3.0"
"13","--","--","--","--","--","7.7","61","8.5"
"14","960.6","24.1","95","1.1","172","3.4","345","4.5"
"15","960.9","23.9","97","0.4","165","3.2","343","11.0"
"16","961.0","23.9","98","0.4","305","1.5","137","6.0"
"17","961.8","23.7","98","0.6","204","2.4","181","6.0"
"18","962.3","23.7","98","1.8","104","3.3","94","15.0"
"19","963.0","23.4","97","1.4","358","6.4","44","18.5"
"20","964.0","23.7","96","1.7","193","9.4","52","21.0"
"21","964.7","23.4","98","0.6","186","4.8","240","40.0"
"22","964.7","23.2","98","0.9","357","4.9","21","50.0"
"23","964.2","23.3","98","1.7","358","8.1","26","15.0"
"24","964.7","23.6","96","1.6","57","9.5","50","0.5"
