"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","943.4","1012.0","22.4","22.1","98","1.1","20","2.3","30","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"02","943.3","1011.6","23.5","23.2","98","0.3","V","2.2","360","0.0","X","--","0.00","--","0","--","--","--","--","--","--","--","--","--"
"03","943.0","1011.4","23.0","22.8","99","0.7","40","1.8","30","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"04","942.7","1011.2","22.6","22.4","99","1.0","20","2.3","20","0.0","X","--","0.00","--","0","--","--","--","--","--","--","--","--","--"
"05","942.7","1011.3","22.3","22.0","98","0.7","50","2.3","40","0.0","X","--","0.00","--","0","--","6.0","24.2","25.3","25.4","25.5","25.7","25.0","24.6"
"06","942.7","1011.3","22.1","21.6","97","0.7","60","1.5","50","0.0","X","0.0","0.02","--","0","--","0.0","--","--","--","--","--","--","--"
"07","943.1","1011.7","22.2","21.7","97","0.9","50","1.8","20","0.0","0.0","0.1","0.16","--","0","--","2.0","--","--","--","--","--","--","--"
"08","943.6","1012.0","23.4","22.6","95","0.4","350","2.3","20","0.0","0.0","1.0","1.26","15.0","2","4.0","6.0","--","--","--","--","--","--","--"
"09","943.8","1011.9","24.8","23.9","95","0.5","230","2.1","220","0.0","0.0","0.8","1.59","15.0","4","5.0","2.0","23.9","25.0","25.1","25.3","25.7","25.0","24.6"
"10","943.9","1011.9","25.2","24.5","96","0.4","190","2.3","230","0.0","0.0","0.1","0.98","--","4","--","3.0","--","--","--","--","--","--","--"
"11","943.6","1011.4","25.9","24.7","93","0.4","210","2.5","220","0.0","0.0","0.0","0.76","15.0","3","8.0","3.0","--","--","--","--","--","--","--"
"12","943.5","1011.3","25.9","23.2","85","1.0","20","4.3","30","0.0","0.0","0.1","1.01","--","4","--","5.0","--","--","--","--","--","--","--"
"13","943.0","1010.6","26.6","23.7","84","1.1","20","3.6","340","0.0","0.0","0.1","1.15","--","5","--","4.0","--","--","--","--","--","--","--"
"14","942.3","1009.4","28.7","23.2","72","0.9","310","6.6","10","0.0","0.0","0.8","2.63","14.0","8","5.0","2.0","24.7","25.3","25.0","25.2","25.6","25.1","24.6"
"15","941.7","1008.9","28.1","23.5","76","1.8","30","5.6","340","0.0","0.0","0.6","1.76","--","5","--","5.0","--","--","--","--","--","--","--"
"16","941.4","1008.6","27.9","22.9","74","1.1","60","4.4","20","0.0","0.0","0.7","1.44","--","3","--","6.0","--","--","--","--","--","--","--"
"17","941.4","1008.8","27.0","22.6","77","0.8","100","5.3","340","0.0","0.0","1.0","1.16","20.0","1","6.0","4.0","--","--","--","--","--","--","--"
"18","941.9","1009.6","25.6","22.7","84","0.9","20","3.4","360","0.0","0.0","0.9","0.35","--","0","--","7.0","--","--","--","--","--","--","--"
"19","942.0","1009.9","24.8","21.7","83","0.6","50","2.9","20","0.0","0.0","0.0","0.00","--","0","--","7.0","--","--","--","--","--","--","--"
"20","942.3","1010.5","23.9","22.2","90","0.8","40","1.9","30","0.0","0.0","--","0.00","--","0","--","7.0","--","--","--","--","--","--","--"
"21","942.6","1010.8","23.7","22.7","94","0.5","60","1.7","40","0.0","0.0","--","0.00","--","0","--","6.0","24.8","25.7","25.3","25.2","25.5","25.1","24.6"
"22","942.4","1010.8","23.2","22.7","97","0.4","90","1.6","70","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"23","942.5","1010.9","23.1","22.6","97","0.1","0","1.7","40","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"24","942.0","1010.2","23.6","23.4","99","0.4","150","1.3","210","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
