"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","939.6","1007.6","23.7","23.2","97","2.3","290","7.0","270","0.0","X","--","0.00","--","0","--","9.0","--","--","--","--","--","--","--"
"02","939.1","1007.1","23.8","23.0","95","2.6","300","8.2","330","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"03","938.3","1006.3","23.4","22.9","97","2.2","280","8.4","350","0.0","X","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
"04","938.4","1006.4","23.4","22.4","94","2.1","290","7.8","270","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"05","938.3","1006.4","23.1","22.4","96","1.5","310","7.0","250","0.0","X","--","0.00","--","0","--","10.0","23.5","24.3","24.3","24.4","24.9","24.9","24.7"
"06","938.4","1006.4","23.4","22.4","94","1.7","310","7.2","220","0.0","X","0.0","0.02","--","0","--","10.0","--","--","--","--","--","--","--"
"07","938.7","1006.7","23.4","22.2","93","1.6","320","6.7","310","0.0","0.0","0.0","0.21","--","0","--","10.0","--","--","--","--","--","--","--"
"08","938.9","1006.7","24.3","22.0","87","1.5","320","5.7","280","0.0","0.0","0.1","0.69","40.0","1","8.0","10.0","--","--","--","--","--","--","--"
"09","939.7","1007.5","24.6","22.5","88","1.2","270","7.0","280","0.0","0.0","0.1","1.15","32.0","3","7.0","10.0","23.3","24.2","24.2","24.4","24.9","24.9","24.7"
"10","939.9","1007.7","24.8","22.9","89","0.8","240","3.8","300","0.0","0.0","0.0","0.91","--","3","--","10.0","--","--","--","--","--","--","--"
"11","940.1","1007.5","26.6","23.7","84","1.0","180","3.6","210","0.0","0.0","0.3","1.80","34.0","6","7.0","10.0","--","--","--","--","--","--","--"
"12","939.8","1007.1","26.7","23.2","81","1.2","210","4.1","240","0.0","0.0","0.3","2.04","--","7","--","10.0","--","--","--","--","--","--","--"
"13","939.4","1006.6","27.1","23.4","80","0.7","310","2.4","260","0.0","0.0","0.0","1.47","--","5","--","10.0","--","--","--","--","--","--","--"
"14","938.6","1005.5","28.1","23.7","77","1.6","170","3.6","200","0.0","0.0","0.5","2.27","22.0","7","6.0","10.0","24.3","24.7","24.2","24.4","24.9","24.9","24.7"
"15","937.8","1004.9","27.3","24.0","82","0.6","320","4.3","200","0.0","0.0","0.6","2.09","--","6","--","10.0","--","--","--","--","--","--","--"
"16","938.1","1005.9","24.4","23.9","97","1.2","160","4.4","220","1.5","0.3","0.0","0.42","--","1","--","10.0","--","--","--","--","--","--","--"
"17","938.3","1006.3","23.5","23.5","100","0.5","20","5.5","80","13.5","0.7","0.0","0.09","12.0","0","10.0","10.0","--","--","--","--","--","--","--"
"18","938.5","1006.5","23.5","23.5","100","0.9","20","2.3","360","0.5","0.8","0.0","0.12","--","0","--","10.0","--","--","--","--","--","--","--"
"19","939.2","1007.3","23.5","23.5","100","0.5","10","1.7","20","T","1.0","0.0","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"20","939.8","1007.9","23.5","23.5","100","0.5","30","2.4","340","0.5","1.0","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"21","940.7","1009.0","22.9","22.7","99","1.4","10","3.9","10","1.0","0.7","--","0.00","--","0","--","10.0","24.6","25.3","24.8","24.5","24.9","24.9","24.7"
"22","940.7","1009.1","22.7","22.4","98","2.2","350","5.1","350","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"23","940.7","1009.0","23.0","22.2","95","1.9","340","5.6","310","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"24","940.4","1008.8","22.5","22.0","97","1.3","10","3.3","350","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
