"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","959.6","23.9","85","0.8","355","2.0","3","0.0"
"02","959.6","23.7","88","0.9","341","2.0","4","0.0"
"03","959.1","23.6","89","0.9","6","1.6","11","0.0"
"04","958.9","23.2","92","1.4","9","2.1","16","0.0"
"05","958.8","23.3","91","1.0","352","2.1","2","0.0"
"06","959.2","23.3","92","1.1","357","1.6","20","&"
"07","959.9","25.9","82","0.5","284","1.7","23","0.0"
"08","960.4","26.1","84","0.8","223","2.4","284","&"
"09","960.6","28.1","74","1.6","253","3.9","257","0.0"
"10","960.5","29.6","68","1.3","251","4.0","285","0.0"
"11","960.0","30.3","61","1.8","266","6.3","242","0.0"
"12","959.7","31.1","57","2.3","245","5.3","238","0.0"
"13","959.0","30.9","60","1.8","234","5.9","205","0.0"
"14","958.5","30.6","64","2.3","241","6.0","254","0.0"
"15","958.1","30.6","61","2.1","233","5.1","239","0.0"
"16","957.8","29.2","67","1.6","242","5.7","245","0.0"
"17","957.7","28.7","68","1.6","264","4.4","228","0.0"
"18","958.1","27.7","70","1.4","279","4.2","311","&"
"19","958.5","26.1","77","1.0","39","3.5","334","0.0"
"20","--","--","--","--","--","2.0","39","0.0"
"21","959.2","25.4","85","0.8","15","2.0","28","0.0"
"22","959.2","25.3","87","0.6","347","1.6","20","0.0"
"23","959.0","25.0","89","0.6","8","2.0","15","0.0"
"24","958.5","24.7","90","1.1","3","2.0","8","0.0"
