"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","958.1","26.1","90","2.5","25","9.2","347","0.0"
"02","958.0","25.7","91","2.2","273","12.0","14","0.0"
"03","958.4","25.8","91","2.5","257","11.5","131","0.5"
"04","958.8","25.6","85","2.4","309","9.3","1","&"
"05","959.1","25.8","79","1.8","119","6.9","185","0.5"
"06","959.5","25.9","78","1.9","91","7.0","69","0.0"
"07","959.8","26.8","74","1.1","135","5.9","127","0.0"
"08","959.9","27.8","73","1.8","172","6.1","199","0.0"
"09","960.0","28.5","72","1.6","182","9.0","63","0.0"
"10","960.0","29.2","69","2.1","183","9.5","172","0.0"
"11","960.0","29.2","70","2.3","210","9.0","179","0.0"
"12","959.5","29.5","71","2.3","233","9.9","7","&"
"13","959.1","28.9","71","2.5","228","11.3","212","0.0"
"14","958.6","29.4","68","2.5","194","8.8","163","0.0"
"15","958.4","29.1","73","1.7","316","8.6","327","0.0"
"16","958.2","28.2","73","2.5","289","8.6","342","0.0"
"17","--","--","--","--","--","8.3","21","&"
"18","958.2","26.4","84","2.8","270","8.8","319","0.0"
"19","958.9","26.1","86","1.9","276","7.0","334","0.0"
"20","959.7","25.8","86","2.3","295","6.6","260","0.0"
"21","959.8","25.6","85","1.9","296","9.1","340","0.0"
"22","959.8","25.6","85","2.3","351","7.9","239","0.0"
"23","959.7","25.6","84","1.8","358","9.3","48","0.0"
"24","959.5","25.1","87","2.1","317","8.7","42","0.0"
