"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","892.5","21.5","94","3.8","303","5.5","234","0.0"
"02","892.4","21.8","94","3.9","335","6.6","355","0.0"
"03","892.3","21.4","94","4.4","322","7.1","256","0.0"
"04","892.2","20.9","94","5.9","324","9.3","354","0.0"
"05","892.2","19.8","94","5.0","350","7.7","288","0.5"
"06","892.4","19.7","94","4.4","348","6.6","355","0.0"
"07","892.9","21.6","95","2.1","340","5.5","355","0.0"
"08","893.3","22.5","95","0.4","343","4.1","317","0.0"
"09","893.5","22.7","92","0.5","334","3.0","355","0.0"
"10","893.7","22.5","95","1.5","330","3.0","351","0.0"
"11","893.6","24.5","90","1.3","322","4.9","312","0.0"
"12","893.2","24.8","89","1.8","330","7.1","299","0.0"
"13","892.7","26.6","81","2.7","326","4.9","354","0.0"
"14","892.1","25.2","87","3.1","322","5.5","301","0.0"
"15","891.8","25.8","88","3.2","327","6.0","310","0.0"
"16","891.5","24.0","94","1.3","341","5.5","315","0.0"
"17","891.4","24.4","91","1.1","293","4.1","20","0.0"
"18","891.6","22.9","95","0.5","312","3.3","125","0.0"
"19","891.7","22.5","93","1.5","329","3.5","121","0.0"
"20","891.9","22.6","92","0.2","0","1.6","355","0.0"
"21","892.3","23.2","72","0.0","0","2.4","14","0.0"
"22","892.4","23.0","73","0.1","0","1.6","355","0.0"
"23","892.2","23.1","74","0.1","0","2.2","307","0.0"
"24","891.8","22.8","75","1.0","353","2.4","295","0.0"
