"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","961.2","26.3","78","1.1","31","3.7","146","&"
"02","960.5","27.1","73","1.4","117","3.4","135","0.0"
"03","960.4","25.9","81","1.3","349","3.3","130","0.0"
"04","960.5","25.3","85","0.7","324","2.0","7","0.0"
"05","960.7","24.9","86","1.0","338","1.6","328","0.0"
"06","960.7","25.0","87","0.9","12","1.7","325","0.0"
"07","960.8","27.5","80","1.5","126","2.6","111","0.0"
"08","--","--","--","--","--","2.7","120","0.0"
"09","960.3","29.1","66","1.5","187","5.0","216","0.0"
"10","959.8","30.6","67","1.7","46","6.8","59","0.0"
"11","959.3","31.1","62","1.5","308","6.4","183","0.0"
"12","958.3","31.5","65","1.6","325","4.6","275","0.0"
"13","957.9","30.9","69","2.1","35","7.1","54","0.0"
"14","957.6","30.3","70","3.1","25","9.9","27","0.0"
"15","957.2","30.0","73","2.4","12","9.5","38","0.0"
"16","956.9","29.8","74","2.3","319","10.2","49","0.0"
"17","956.8","29.8","70","2.0","295","6.5","174","0.0"
"18","956.9","29.0","76","1.8","311","6.4","220","0.0"
"19","956.9","27.8","81","2.0","275","6.0","332","0.0"
"20","957.6","27.4","83","1.8","325","7.4","24","0.0"
"21","958.0","27.1","84","1.7","327","5.6","236","&"
"22","957.8","27.1","86","1.5","334","4.8","23","0.0"
"23","957.4","27.3","85","1.5","307","4.8","324","0.0"
"24","956.9","26.5","89","1.4","287","5.1","291","0.5"
