"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","892.9","22.5","92","3.2","136","7.7","137","0.0"
"02","892.3","22.2","94","2.3","107","7.1","136","0.0"
"03","892.1","22.9","88","1.1","340","3.3","353","0.0"
"04","892.1","22.6","91","0.0","0","1.9","355","0.0"
"05","892.2","22.1","93","0.1","0","2.4","355","0.0"
"06","892.2","23.0","92","0.0","0","3.0","305","0.0"
"07","892.3","24.8","84","1.7","105","3.3","136","0.0"
"08","892.2","25.0","89","2.3","103","5.5","351","0.0"
"09","891.8","25.9","80","3.3","111","7.1","97","0.0"
"10","891.4","25.0","91","0.9","27","10.4","179","0.0"
"11","890.9","26.1","90","1.7","348","8.8","106","0.0"
"12","890.0","25.4","93","2.3","358","9.9","109","0.0"
"13","889.6","24.9","94","1.7","347","8.8","162","0.0"
"14","889.0","25.5","91","2.1","349","8.8","174","0.0"
"15","888.8","24.7","94","2.5","344","8.2","121","0.0"
"16","888.1","24.1","97","2.6","3","8.8","355","&"
"17","888.1","23.9","96","2.0","353","13.2","287","0.0"
"18","887.9","23.1","94","2.5","359","10.4","114","0.0"
"19","887.8","22.6","95","3.5","6","13.2","87","0.0"
"20","888.6","22.9","94","1.9","351","12.6","343","0.0"
"21","888.8","22.3","95","2.2","359","8.8","327","0.0"
"22","889.1","22.6","95","2.0","342","7.1","354","0.0"
"23","888.8","22.8","95","1.9","343","7.1","26","0.0"
"24","888.0","22.7","95","2.5","352","11.0","170","0.0"
