"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","892.7","23.3","96","1.9","299","3.0","319","0.0"
"02","892.3","23.2","96","1.8","158","3.0","159","0.0"
"03","892.3","23.3","91","1.0","146","3.3","164","0.0"
"04","892.3","22.5","93","2.8","348","3.5","292","0.0"
"05","892.3","22.5","94","4.7","354","6.6","355","0.0"
"06","892.8","22.1","93","5.5","349","8.8","352","0.5"
"07","892.8","21.8","94","7.0","349","11.0","355","0.0"
"08","892.9","22.3","94","6.2","347","10.4","335","0.0"
"09","893.3","24.8","85","2.8","343","9.9","355","0.0"
"10","893.4","26.0","82","1.5","335","5.5","355","0.0"
"11","893.2","25.9","87","1.0","335","4.9","355","0.0"
"12","892.8","25.4","92","1.6","330","3.3","317","0.0"
"13","892.5","25.8","89","1.7","325","4.9","317","0.0"
"14","892.2","27.7","80","0.2","0","3.5","293","0.0"
"15","891.7","25.4","93","0.4","359","3.5","324","0.0"
"16","891.1","24.4","96","1.0","36","2.4","355","0.0"
"17","890.8","24.8","95","0.5","46","2.4","209","0.0"
"18","890.7","24.0","93","2.4","35","3.5","355","0.0"
"19","891.1","23.2","94","2.8","9","4.9","110","0.0"
"20","892.1","22.7","96","1.6","40","3.5","355","0.0"
"21","892.3","23.1","90","1.8","26","3.5","355","0.0"
"22","892.6","23.1","89","0.1","0","3.0","352","0.0"
"23","892.5","23.5","80","0.0","0","1.9","126","0.0"
"24","892.3","23.6","86","0.0","0","2.4","313","0.0"
