"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","940.2","1008.7","22.0","21.8","99","0.9","40","1.8","20","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"02","940.0","1008.5","21.7","21.4","98","0.6","40","1.6","40","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"03","939.6","1008.1","21.7","21.2","97","0.4","50","1.7","50","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"04","939.3","1007.8","21.6","21.4","99","0.4","20","1.8","30","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"05","939.2","1007.8","21.4","20.9","97","0.6","50","4.2","340","0.0","X","--","0.00","--","0","--","6.0","23.9","25.1","25.3","25.3","25.5","25.0","24.6"
"06","939.6","1008.2","21.4","21.2","99","0.6","30","1.5","30","0.0","X","0.0","0.01","--","0","--","0.0","--","--","--","--","--","--","--"
"07","940.3","1008.8","21.9","21.7","99","0.4","50","1.6","60","0.0","0.0","0.1","0.15","--","0","--","0.0","--","--","--","--","--","--","--"
"08","940.8","1009.0","23.2","23.0","99","0.6","190","1.6","260","0.0","0.0","0.4","0.78","14.0","1","5.0","2.0","--","--","--","--","--","--","--"
"09","941.1","1009.1","24.4","23.5","95","0.6","200","2.3","210","0.0","0.0","0.7","1.64","20.0","4","4.0","4.0","23.7","24.8","25.0","25.2","25.5","25.0","24.6"
"10","941.0","1008.5","26.5","24.5","89","1.5","180","3.8","200","0.0","0.0","0.8","2.49","--","7","--","2.0","--","--","--","--","--","--","--"
"11","940.5","1008.0","26.4","22.7","80","1.7","340","4.1","200","0.0","0.0","0.5","2.27","28.0","7","5.0","4.0","--","--","--","--","--","--","--"
"12","940.3","1007.4","28.0","23.2","75","2.6","340","7.7","360","0.0","0.0","0.7","2.62","--","9","--","10.0","--","--","--","--","--","--","--"
"13","939.7","1006.7","28.2","23.1","74","3.0","340","7.3","360","0.0","0.0","1.0","3.43","--","12","--","10.0","--","--","--","--","--","--","--"
"14","939.1","1006.1","28.1","23.0","74","2.5","330","6.6","350","0.0","0.0","1.0","3.21","10.0","10","2.0","9.0","24.9","25.3","24.9","25.0","25.5","25.1","24.6"
"15","938.7","1005.6","28.4","22.4","70","1.5","320","6.2","330","0.0","0.0","1.0","2.61","--","7","--","6.0","--","--","--","--","--","--","--"
"16","938.5","1005.5","27.7","22.4","73","1.9","330","4.9","270","0.0","0.0","0.8","1.73","--","3","--","7.0","--","--","--","--","--","--","--"
"17","938.4","1005.7","26.5","22.4","78","1.5","180","4.5","330","0.0","0.0","1.0","1.12","10.0","1","6.0","9.0","--","--","--","--","--","--","--"
"18","938.8","1006.5","24.8","22.5","87","0.6","160","3.1","200","0.0","0.0","0.8","0.39","--","0","--","10.0","--","--","--","--","--","--","--"
"19","939.2","1007.2","23.8","21.3","86","1.1","40","2.0","20","0.0","0.0","0.0","0.01","--","0","--","10.0","--","--","--","--","--","--","--"
"20","939.6","1007.7","23.4","21.9","91","0.8","40","2.1","30","0.0","0.0","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"21","939.9","1008.0","23.6","22.9","96","0.6","40","1.6","30","0.0","0.0","--","0.00","--","0","--","10.0","24.9","25.8","25.4","25.2","25.4","25.1","24.6"
"22","939.7","1007.8","23.4","22.7","96","0.7","40","1.5","20","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"23","939.4","1007.5","23.3","22.8","97","0.6","40","1.9","40","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"24","939.0","1007.1","23.1","22.6","97","0.6","30","1.5","20","0.0","X","--","0.00","--","0","--","9.0","--","--","--","--","--","--","--"
