"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","891.1","22.1","86","2.2","345","3.0","355","0.0"
"02","890.8","21.3","91","1.8","340","3.5","312","0.0"
"03","890.4","21.0","95","2.2","330","4.1","353","0.0"
"04","890.1","19.8","96","3.5","319","4.9","311","0.0"
"05","890.0","21.2","92","2.7","343","4.1","316","0.0"
"06","890.4","21.0","94","3.2","343","3.8","336","0.0"
"07","891.0","21.4","93","2.1","333","5.5","321","0.0"
"08","891.6","22.7","88","1.3","338","2.7","355","0.0"
"09","892.0","23.4","83","1.6","338","3.5","327","0.0"
"10","892.0","24.2","87","1.7","338","4.1","353","0.0"
"11","891.7","24.6","89","3.4","332","5.5","303","0.0"
"12","891.5","24.1","92","4.6","324","7.1","355","0.0"
"13","890.9","23.5","94","4.0","331","9.3","354","0.0"
"14","890.4","24.1","90","3.5","332","7.7","295","0.0"
"15","890.0","24.7","83","3.2","322","6.0","322","0.0"
"16","889.6","24.3","88","3.5","315","6.6","281","0.0"
"17","889.5","24.2","82","3.7","318","6.0","298","0.0"
"18","889.7","23.0","88","2.8","328","6.0","355","0.0"
"19","890.0","21.5","91","5.4","267","7.1","354","0.0"
"20","890.5","21.8","93","2.8","300","6.6","230","0.0"
"21","890.8","21.8","95","3.3","343","4.9","355","0.0"
"22","890.7","21.9","93","4.0","330","4.9","355","0.0"
"23","890.5","21.6","95","3.5","334","5.5","266","0.0"
"24","889.9","21.7","96","4.0","329","6.0","355","0.0"
