"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","894.1","21.9","92","5.5","332","7.7","355","&"
"02","894.0","22.1","94","4.8","335","7.7","355","0.0"
"03","893.8","21.4","93","5.2","312","6.6","355","0.0"
"04","893.5","21.5","96","2.3","334","6.6","244","0.0"
"05","893.6","21.9","81","2.4","340","3.5","355","0.0"
"06","893.5","22.4","81","2.2","347","3.3","355","0.0"
"07","894.0","24.0","71","1.4","345","3.0","355","0.0"
"08","894.6","24.9","75","1.8","348","3.0","237","0.0"
"09","894.7","25.8","81","0.9","346","3.0","243","0.0"
"10","894.8","25.1","87","1.1","16","4.1","39","0.0"
"11","894.6","24.4","93","1.5","7","4.9","343","0.0"
"12","894.5","23.4","95","1.3","14","4.9","56","&"
"13","894.2","22.9","93","2.5","21","3.5","10","0.5"
"14","893.5","23.8","95","0.1","0","4.9","39","0.0"
"15","893.0","23.5","94","2.0","48","3.8","106","0.0"
"16","892.5","23.7","94","2.1","59","4.9","180","0.0"
"17","892.5","22.6","96","2.0","48","4.9","108","0.0"
"18","892.8","22.3","96","1.5","2","3.5","116","0.0"
"19","892.9","22.0","93","2.9","76","6.0","263","0.0"
"20","893.2","22.0","95","2.3","58","4.9","107","0.0"
"21","893.4","21.7","93","2.0","89","5.5","353","0.0"
"22","893.3","21.8","92","2.1","122","3.5","355","0.0"
"23","893.3","21.9","95","1.8","360","3.5","355","0.0"
"24","892.7","21.6","94","2.4","220","3.5","210","0.0"
