"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","961.5","24.9","93","0.8","359","2.1","328","0.0"
"02","961.3","25.0","91","1.6","339","3.6","307","0.0"
"03","961.1","25.1","87","1.8","339","3.5","258","0.0"
"04","961.2","25.1","85","1.9","345","4.7","324","0.0"
"05","961.3","24.8","87","1.3","346","4.4","318","0.0"
"06","961.5","24.0","88","1.0","17","3.6","335","0.0"
"07","961.9","25.5","79","0.5","349","1.7","15","0.0"
"08","962.2","27.7","70","1.1","213","2.7","230","0.0"
"09","962.4","28.5","72","1.4","211","3.2","227","0.0"
"10","962.4","29.1","69","2.1","228","4.2","237","0.0"
"11","962.1","29.4","68","1.6","255","5.6","241","0.0"
"12","961.6","30.4","61","1.4","282","5.0","267","0.0"
"13","961.0","31.0","62","1.1","243","4.9","252","0.0"
"14","960.3","31.3","60","1.7","257","5.1","244","0.0"
"15","959.9","30.9","62","1.6","197","4.9","247","0.0"
"16","959.8","28.0","76","1.8","135","4.0","128","0.0"
"17","959.6","27.0","85","1.8","108","4.3","113","0.0"
"18","960.1","26.4","85","1.8","92","3.7","48","0.0"
"19","960.1","26.2","85","1.0","1","4.3","78","0.0"
"20","960.4","25.6","88","0.9","8","1.6","15","0.0"
"21","960.9","24.9","89","1.3","351","1.8","36","0.0"
"22","960.8","24.6","86","0.7","353","1.8","9","0.0"
"23","960.6","24.7","83","1.2","354","2.4","34","0.0"
"24","960.3","24.6","82","1.2","346","2.4","17","0.0"
