"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","956.1","25.0","84","1.0","359","2.1","12","0.0"
"02","956.0","25.3","86","0.7","319","1.7","19","0.0"
"03","956.0","24.7","91","0.6","11","2.2","19","0.0"
"04","956.1","24.4","91","1.2","8","1.6","9","0.0"
"05","956.1","24.2","91","0.7","11","1.6","14","0.0"
"06","956.3","24.2","91","0.9","5","1.9","49","0.0"
"07","956.7","26.9","76","0.7","312","2.8","318","0.0"
"08","957.1","28.6","69","1.1","306","3.7","263","0.0"
"09","957.1","28.8","71","1.2","244","4.5","287","0.0"
"10","--","--","--","--","--","5.1","273","0.0"
"11","956.5","30.6","62","2.6","243","6.2","203","0.0"
"12","956.1","31.2","63","0.8","308","4.7","233","0.0"
"13","955.6","31.9","62","0.9","289","5.8","292","0.0"
"14","955.2","29.3","76","1.8","117","5.2","117","0.0"
"15","955.2","27.3","84","2.1","96","6.1","76","0.0"
"16","955.1","27.5","82","1.5","27","4.9","58","0.0"
"17","955.1","28.1","79","1.0","341","3.0","325","0.0"
"18","955.3","28.0","74","1.3","147","2.8","46","&"
"19","955.9","27.0","82","0.7","20","2.4","107","0.0"
"20","956.5","25.7","83","1.3","2","2.4","335","0.0"
"21","956.9","25.5","84","1.2","348","2.2","4","0.0"
"22","957.0","25.3","86","0.7","6","2.1","329","0.0"
"23","--","--","--","--","--","1.8","22","0.0"
"24","956.6","25.4","87","1.7","352","4.0","314","&"
