"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","936.7","1004.5","23.6","22.2","92","0.7","40","1.7","40","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"02","936.6","1004.5","23.3","22.3","94","0.3","30","1.7","10","0.0","X","--","0.00","--","0","--","10.0","--","--","--","--","--","--","--"
"03","936.5","1004.5","23.0","22.5","97","0.0","0","1.4","30","0.0","X","--","0.00","--","0","--","9.0","--","--","--","--","--","--","--"
"04","936.6","1004.7","22.7","22.4","98","0.3","80","1.2","40","0.0","X","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
"05","936.7","1004.8","22.7","22.4","98","0.5","50","0.8","20","0.0","X","--","0.00","--","0","--","6.0","25.1","26.1","26.0","25.9","26.1","25.5","24.7"
"06","936.8","1004.8","22.9","22.2","96","0.9","20","2.4","360","0.0","X","0.0","0.03","--","0","--","0.0","--","--","--","--","--","--","--"
"07","937.3","1005.2","23.5","21.8","90","1.2","360","3.2","360","0.0","0.0","0.1","0.22","--","0","--","0.0","--","--","--","--","--","--","--"
"08","937.7","1005.4","24.5","21.8","85","0.5","180","3.2","220","0.0","0.0","1.0","1.29","15.0","2","3.0","3.0","--","--","--","--","--","--","--"
"09","937.7","1005.1","25.7","23.8","89","1.0","220","3.5","290","0.0","0.0","0.5","1.46","15.0","3","4.0","1.0","24.8","25.9","25.8","25.8","26.1","25.5","24.7"
"10","937.6","1004.9","26.3","23.6","85","1.0","200","4.2","220","0.0","0.0","0.6","2.09","--","5","--","1.0","--","--","--","--","--","--","--"
"11","937.2","1004.1","28.0","24.2","80","1.6","190","3.9","110","0.0","0.0","0.8","2.95","15.0","9","4.0","2.0","--","--","--","--","--","--","--"
"12","936.8","1003.6","28.3","23.2","74","1.7","200","5.0","110","0.0","0.0","0.8","3.30","--","11","--","3.0","--","--","--","--","--","--","--"
"13","936.3","1002.7","29.7","23.9","71","2.1","180","5.0","210","0.0","0.0","1.0","3.62","--","11","--","5.0","--","--","--","--","--","--","--"
"14","936.0","1002.5","29.1","23.8","73","1.1","240","4.7","300","0.0","0.0","0.5","2.29","12.0","7","8.0","8.0","26.2","26.4","25.7","25.7","26.1","25.5","24.7"
"15","936.0","1003.0","27.2","24.5","85","1.4","310","4.5","220","0.0","0.0","0.1","0.92","--","3","--","10.0","--","--","--","--","--","--","--"
"16","935.9","1003.1","25.9","25.0","95","0.3","280","4.9","210","T","0.3","0.0","0.28","--","1","--","10.0","--","--","--","--","--","--","--"
"17","935.7","1003.0","25.7","24.5","93","0.4","360","2.2","190","T","0.2","0.0","0.21","8.0","0","10.0","10.0","--","--","--","--","--","--","--"
"18","936.1","1003.4","25.7","24.1","91","0.6","180","2.0","210","0.0","0.0","0.3","0.48","--","0","--","9.0","--","--","--","--","--","--","--"
"19","936.7","1004.3","24.6","23.4","93","0.7","50","1.9","60","0.0","0.0","0.0","0.04","--","0","--","8.0","--","--","--","--","--","--","--"
"20","937.1","1004.9","24.0","22.4","91","0.8","50","1.7","80","0.0","0.0","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
"21","937.5","1005.4","23.7","22.3","92","0.8","50","1.6","70","0.0","0.0","--","0.00","--","0","--","6.0","26.3","27.0","26.3","25.9","26.0","25.5","24.7"
"22","937.6","1005.4","23.9","22.9","94","0.5","50","1.8","30","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"23","937.5","1005.3","23.9","23.1","95","0.8","20","1.7","30","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"24","937.3","1005.0","24.6","23.0","91","1.5","340","3.7","310","0.0","X","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
