"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","887.8","21.9","95","1.6","317","6.0","354","0.0"
"02","887.6","21.9","92","0.7","305","3.3","355","0.0"
"03","887.6","21.8","93","0.8","89","6.0","355","0.0"
"04","887.7","22.0","94","0.5","297","4.9","216","0.0"
"05","887.7","21.9","92","3.3","263","4.9","249","0.0"
"06","887.8","21.0","93","4.6","307","6.0","283","0.0"
"07","888.4","21.9","93","4.9","300","8.2","269","0.0"
"08","888.6","22.2","96","5.3","304","8.8","270","0.0"
"09","888.7","23.0","95","4.5","281","9.9","280","0.0"
"10","888.7","23.9","93","4.4","285","9.3","236","0.0"
"11","888.5","25.4","89","3.0","323","7.7","353","0.0"
"12","888.4","25.3","88","2.4","326","7.7","355","0.0"
"13","887.9","25.9","90","3.0","342","6.6","355","0.0"
"14","887.6","26.4","89","2.2","343","6.0","355","0.0"
"15","887.5","24.8","93","1.8","336","5.5","355","0.0"
"16","887.2","23.7","93","1.6","341","5.5","296","0.0"
"17","887.1","23.7","96","1.3","27","3.5","332","0.0"
"18","887.4","23.5","93","0.9","38","3.0","146","0.0"
"19","887.9","23.2","91","1.7","59","3.3","154","0.0"
"20","888.4","22.5","93","2.7","123","4.1","353","0.0"
"21","888.6","22.7","95","1.5","250","4.9","193","0.0"
"22","888.9","22.7","94","3.5","241","4.9","233","0.0"
"23","888.6","22.4","97","5.9","318","7.7","354","0.0"
"24","888.3","22.2","94","6.7","326","9.3","355","0.0"
