case_id,from_id,from_name,from_lat,from_lon,to_id,to_name,to_lat,to_lon,expected_time_min,source,direction
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,1,小油坑登山口,25.1767939,121.5475125,2,0.2k七星池岔路,25.1753952,121.5484749,10,上河預估時間,ascent
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,2,0.2k七星池岔路,25.1753952,121.5484749,3,岔路,25.1703416,121.5506002,30,上河預估時間,ascent
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,3,岔路,25.1703416,121.5506002,4,南峰岔路,25.1697229,121.5521205,25,上河預估時間,ascent
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,4,南峰岔路,25.1697229,121.5521205,5,七星山主峰,25.1707017,121.5534401,25,上河預估時間,ascent
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,5,七星山主峰,25.1707017,121.5534401,4,南峰岔路,25.1697229,121.5521205,25,上河預估時間,descent
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,4,南峰岔路,25.1697229,121.5521205,3,岔路,25.1703416,121.5506002,25,上河預估時間,descent
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,3,岔路,25.1703416,121.5506002,2,0.2k七星池岔路,25.1753952,121.5484749,30,上河預估時間,descent
qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b,2,0.2k七星池岔路,25.1753952,121.5484749,1,小油坑登山口,25.1767939,121.5475125,10,上河預估時間,descent
hehuan_north_peak_garmin_with_waypoints_v1,1,合歡山北(西)峰登山口,24.165714,121.2893548,2,1.4k碧池岔路,24.1775868,121.2853222,70,上河預估時間,ascent
hehuan_north_peak_garmin_with_waypoints_v1,2,1.4k碧池岔路,24.1775868,121.2853222,3,合歡山北峰,24.1815125,121.2815943,20,上河預估時間,ascent
hehuan_north_peak_garmin_with_waypoints_v1,3,合歡山北峰,24.1815125,121.2815943,2,1.4k碧池岔路,24.1775868,121.2853222,15,上河預估時間,descent
hehuan_north_peak_garmin_with_waypoints_v1,2,1.4k碧池岔路,24.1775868,121.2853222,1,合歡山北(西)峰登山口,24.165714,121.2893548,45,上河預估時間,descent
