profile_id,route_folder,activity_count,activity_id_short_list,windows_n,speed_mps_median_median,speed_mps_median_p25,speed_mps_median_p75,low_speed_ratio_avg,low_speed_ratio_median,stopped_ratio_avg,stopped_ratio_median,heart_rate_bpm_median_avg,heart_rate_bpm_median_median,weather_context_available_ratio,conservative_weather_review_required_ratio,behavior_weather_context_review_required_ratio,weather_adjustment_flags_observed,conservative_planning_weather_flags_observed,interpretation_boundary,activity_id_short,weather_context_classes_observed,conservative_weather_review_required,behavior_weather_context_review_required
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,13_1,80,0.669343,0.466225,0.864704,0.218352,0.170821,0.014726,0.0,153.01875,155.0,1.0,1.0,0.475,UV_HIGH_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID|UV_EXPOSURE_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",13_1,HEAT_HUMIDITY_REVIEW_CONTEXT,True,True
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,14_1,84,0.839099,0.60419,1.059285,0.145467,0.093386,0.008795,0.0,140.875,140.0,1.0,1.0,0.333333,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",14_1,HEAT_HUMIDITY_REVIEW_CONTEXT,True,True
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,15_1,81,0.905109,0.598192,1.153158,0.079904,0.042857,0.0,0.0,161.111111,160.5,1.0,1.0,0.432099,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",15_1,HEAT_HUMIDITY_REVIEW_CONTEXT,True,True
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,16_1,83,0.60218,0.412983,0.812531,0.212015,0.149425,0.076112,0.0,138.289157,136.5,1.0,1.0,0.493976,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",16_1,HEAT_HUMIDITY_REVIEW_CONTEXT,True,True
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,20_1,79,0.619883,0.511039,0.766083,0.10797,0.082353,0.0,0.0,153.196203,150.0,1.0,1.0,0.481013,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",20_1,HEAT_HUMIDITY_REVIEW_CONTEXT,True,True
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,23_1,83,0.494604,0.353965,0.605227,0.117245,0.114754,0.0,0.0,134.481928,132.0,1.0,1.0,0.53012,UV_HIGH_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID|UV_EXPOSURE_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",23_1,HEAT_HUMIDITY_REVIEW_CONTEXT,True,True
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,28_1,84,0.598755,0.474987,0.748428,0.260677,0.240623,0.009183,0.0,152.142857,152.0,1.0,1.0,0.47619,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",28_1,HEAT_HUMIDITY_REVIEW_CONTEXT,True,True
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,29_1,84,0.72892,0.473572,0.965982,0.082942,0.064691,0.0,0.0,148.333333,145.0,1.0,1.0,0.464286,RAIN_OBSERVED_CONTEXT|UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID|RAIN_EXPOSURE_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",29_1,RAIN_WIND_EXPOSURE_REVIEW_CONTEXT,True,True
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,30_1,82,0.728279,0.53192,1.033707,0.018863,0.010698,8.1e-05,0.0,143.207317,146.0,1.0,1.0,0.47561,UV_MODERATE_CONTEXT|VERY_HUMID_CONTEXT|WARM_HUMID_CONTEXT|WARM_TEMPERATURE_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|CONSERVATIVE_PACING_REVIEW_WARM_HUMID,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",30_1,HEAT_HUMIDITY_REVIEW_CONTEXT,True,True
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,1,33_1,81,0.900778,0.621403,1.145091,0.125172,0.068182,0.014483,0.0,151.012346,152.0,1.0,1.0,0.333333,UV_HIGH_CONTEXT|VERY_HUMID_CONTEXT,CONSERVATIVE_PACING_REVIEW_HUMIDITY|UV_EXPOSURE_REVIEW_REQUIRED,"Descriptive CH6.5.2 weather-adjusted behavior context only. Weather-adjusted means weather-context review flags and conservative planning evidence, not numeric ability adjustment, not suitability scoring, not go/no-go decisioning, not medical diagnosis, and not causality. Missing weather values are not zero-filled.",33_1,HEAT_HUMIDITY_REVIEW_CONTEXT,True,True
