schema_version,output_case,case_id,activity_id,activity_start_time_utc,activity_end_time_utc,activity_duration_min,weather_feature_vector_status,weather_sensitive_score_allowed,weather_sensitive_feature_gate,zero_fallback_true_count,primary_candidate_station_ids,primary_station_count_policy,precipitation_amount_semantics,source_weather_db,source_vector_csv,scope_note,rain_lookback_6h_status,rain_lookback_6h_row_count,rain_lookback_6h_nonnull_row_count,rain_lookback_6h_null_row_count,rain_lookback_6h_observed_station_count,rain_lookback_6h_positive_station_count,rain_lookback_6h_missing_station_count,rain_lookback_6h_observed_station_ids,rain_lookback_6h_positive_station_ids,rain_lookback_6h_zero_observation_count,rain_lookback_6h_positive_observation_count,rain_lookback_6h_max_observed_precipitation_mm,rain_lookback_6h_mean_observed_precipitation_mm,rain_lookback_6h_observed_any,rain_lookback_6h_positive_observed_flag,rain_lookback_6h_observed_zero_flag,rain_lookback_24h_status,rain_lookback_24h_row_count,rain_lookback_24h_nonnull_row_count,rain_lookback_24h_null_row_count,rain_lookback_24h_observed_station_count,rain_lookback_24h_positive_station_count,rain_lookback_24h_missing_station_count,rain_lookback_24h_observed_station_ids,rain_lookback_24h_positive_station_ids,rain_lookback_24h_zero_observation_count,rain_lookback_24h_positive_observation_count,rain_lookback_24h_max_observed_precipitation_mm,rain_lookback_24h_mean_observed_precipitation_mm,rain_lookback_24h_observed_any,rain_lookback_24h_positive_observed_flag,rain_lookback_24h_observed_zero_flag,rain_lookback_72h_status,rain_lookback_72h_row_count,rain_lookback_72h_nonnull_row_count,rain_lookback_72h_null_row_count,rain_lookback_72h_observed_station_count,rain_lookback_72h_positive_station_count,rain_lookback_72h_missing_station_count,rain_lookback_72h_observed_station_ids,rain_lookback_72h_positive_station_ids,rain_lookback_72h_zero_observation_count,rain_lookback_72h_positive_observation_count,rain_lookback_72h_max_observed_precipitation_mm,rain_lookback_72h_mean_observed_precipitation_mm,rain_lookback_72h_observed_any,rain_lookback_72h_positive_observed_flag,rain_lookback_72h_observed_zero_flag,rain_lookback_7d_status,rain_lookback_7d_row_count,rain_lookback_7d_nonnull_row_count,rain_lookback_7d_null_row_count,rain_lookback_7d_observed_station_count,rain_lookback_7d_positive_station_count,rain_lookback_7d_missing_station_count,rain_lookback_7d_observed_station_ids,rain_lookback_7d_positive_station_ids,rain_lookback_7d_zero_observation_count,rain_lookback_7d_positive_observation_count,rain_lookback_7d_max_observed_precipitation_mm,rain_lookback_7d_mean_observed_precipitation_mm,rain_lookback_7d_observed_any,rain_lookback_7d_positive_observed_flag,rain_lookback_7d_observed_zero_flag,positive_rain_local_dates_count_lookback_7d,positive_rain_local_dates_lookback_7d,max_observed_precipitation_lookback_7d_mm,hours_since_last_observed_rain,last_observed_rain_time_utc,last_observed_rain_station_ids,last_observed_rain_station_names,last_observed_rain_precipitation_mm_max,antecedent_precipitation_context_status,antecedent_precipitation_context_reason,antecedent_precipitation_data_quality,rain_lookback_6h_start_utc,rain_lookback_6h_end_utc,rain_lookback_24h_start_utc,rain_lookback_24h_end_utc,rain_lookback_72h_start_utc,rain_lookback_72h_end_utc,rain_lookback_7d_start_utc,rain_lookback_7d_end_utc
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_13_1,2024-08-11T00:58:17+00:00,2024-08-11T03:16:38+00:00,138.35,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_14_1,2024-08-11T00:57:11+00:00,2024-08-11T02:56:51+00:00,119.667,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_15_1,2024-08-04T00:59:32+00:00,2024-08-04T02:55:27+00:00,115.917,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_16_1,2024-08-11T00:10:01+00:00,2024-08-11T02:59:46+00:00,169.75,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_20_1,2024-08-11T00:29:14+00:00,2024-08-11T02:59:11+00:00,149.95,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_23_1,2024-08-11T00:27:56+00:00,2024-08-11T03:36:20+00:00,188.4,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_28_1,2024-08-04T01:10:41+00:00,2024-08-04T03:34:22+00:00,143.683,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_29_1,2024-08-24T01:22:26+00:00,2024-08-24T03:29:14+00:00,126.8,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_30_1,2024-08-04T00:24:51+00:00,2024-08-04T02:31:41+00:00,126.833,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
ib3w_antecedent_precipitation_context_v1,qixing_lengshuikeng_full26_backend_2024_v1,qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b,qixing_lengshuikeng_33_1,2024-08-25T00:53:06+00:00,2024-08-25T02:42:28+00:00,109.367,WEATHER_FEATURE_VECTOR_UNAVAILABLE,False,WEATHER_FEATURE_UNAVAILABLE_DO_NOT_SCORE,0,466910|466930|A0A460|C0AC40,4,RAW_OBSERVED_PRECIPITATION_MM_NOT_SUMMED_AS_LOOKBACK_ACCUMULATION,weather\tw_weather_2026-05-01.sqlite3,outputs\ib3w_weather_sensitive_feature_vector_v1\activity_weather_sensitive_feature_vector.csv,"Lookback precipitation observation context only. No risk score, no THCI, no final surface wetness judgment, no missing-to-zero imputation.",BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,BLOCKED_BY_GATE,0,0,0,0,0,,,,0,0,,,False,False,False,,,,,,,,,BLOCKED_BY_GATE,Weather-sensitive feature gate did not allow scoring; antecedent precipitation was not evaluated.,BLOCKED_BY_GATE,,,,,,,,
