schema_version,summary_type,summary_key,activity_count,score_allowed_count,zero_fallback_true_count
ib3w_antecedent_precipitation_context_v1,antecedent_precipitation_context_status,ANTECEDENT_PRECIPITATION_OBSERVED_RAIN,1,1,0
ib3w_antecedent_precipitation_context_v1,antecedent_precipitation_context_status,BLOCKED_BY_GATE,26,0,0
ib3w_antecedent_precipitation_context_v1,antecedent_precipitation_data_quality,ANTECEDENT_PRECIPITATION_DATA_FULL,1,1,0
ib3w_antecedent_precipitation_context_v1,antecedent_precipitation_data_quality,BLOCKED_BY_GATE,26,0,0
ib3w_antecedent_precipitation_context_v1,rain_lookback_6h_status,BLOCKED_BY_GATE,26,0,0
ib3w_antecedent_precipitation_context_v1,rain_lookback_6h_status,PRECIPITATION_LOOKBACK_OBSERVED_RAIN,1,1,0
ib3w_antecedent_precipitation_context_v1,rain_lookback_24h_status,BLOCKED_BY_GATE,26,0,0
ib3w_antecedent_precipitation_context_v1,rain_lookback_24h_status,PRECIPITATION_LOOKBACK_OBSERVED_RAIN,1,1,0
ib3w_antecedent_precipitation_context_v1,rain_lookback_72h_status,BLOCKED_BY_GATE,26,0,0
ib3w_antecedent_precipitation_context_v1,rain_lookback_72h_status,PRECIPITATION_LOOKBACK_OBSERVED_RAIN,1,1,0
ib3w_antecedent_precipitation_context_v1,rain_lookback_7d_status,BLOCKED_BY_GATE,26,0,0
ib3w_antecedent_precipitation_context_v1,rain_lookback_7d_status,PRECIPITATION_LOOKBACK_OBSERVED_RAIN,1,1,0
ib3w_antecedent_precipitation_context_v1,overall,ALL_ACTIVITIES,27,1,0
